Total Time(s),Time_c1(s),Time_c2(s),Time_c3(s),Time_c4(s),Time_o1(s),Time_o2(s),var1,var2,var3,var4,var5,var6,var7,c1,c2,c3,c4,penalty,feasible,o1,o2
580.1679999828339,0.014000177383422852,0.015000104904174805,0.016000032424926758,0.0,0.07800006866455078,579.795000076294,4,1653,178,5,7,2,2,0.6800000000000002,-10.670000000000002,0.30000000000000004,-2.2699999999999996,0,TRUE,13239.707498728785,-3.0
528.7789998054504,0.0,0.0,0.0,0.0,0.0,528.7789998054504,4,1657,136,3,7,3,1,0.26,-10.71,0.5,-2.6499999999999986,0,TRUE,13518.989077506663,-0.0
540.5350000858307,0.0,0.0,0.0,0.0,0.0,540.5350000858307,4,1658,136,3,7,3,1,0.26,-10.720000000000002,0.5,-2.639999999999997,0,TRUE,13518.989077506663,-0.0
564.305999994278,0.0,0.0,0.0,0.0,0.0,564.305999994278,4,1655,137,5,7,3,2,0.27,-10.690000000000001,0.30000000000000004,-2.66,0,TRUE,13502.551998019953,-22.0
495.8120000362396,0.0,0.0,0.0,0.0,0.0,495.8120000362396,3,1656,137,4,7,1,2,0.27,-12.7,0.3999999999999999,-2.650000000000002,0,TRUE,12119.107113689646,-0.0
518.2489998340607,0.0,0.0,0.0,0.0,0.0,518.2489998340607,3,1659,136,6,7,3,1,0.26,-12.73,0.19999999999999996,-2.629999999999999,0,TRUE,13086.73124229681,-16.0
590.864000082016,0.0,0.0,0.0,0.0,0.0,590.864000082016,4,1657,138,7,7,3,2,0.28,-10.71,0.09999999999999987,-2.629999999999999,0,TRUE,13879.906889232547,-26.0
543.6800000667572,0.0,0.0,0.0,0.0,0.0,543.6800000667572,4,1658,134,4,7,3,3,0.24,-10.720000000000002,0.3999999999999999,-2.6599999999999966,0,TRUE,14566.81751725458,-9.0
509.3269999027252,0.0,0.0,0.0,0.0,0.0,509.3269999027252,3,1659,136,6,7,0,1,0.26,-12.73,0.19999999999999996,-2.629999999999999,0,TRUE,13044.582353910566,-0.0
490.7520000934601,0.0,0.0,0.0,0.0,0.0,490.7520000934601,3,1659,137,4,7,0,1,0.27,-12.73,0.3999999999999999,-2.620000000000001,0,TRUE,12713.511129857172,-0.0
