Total Time(s),Time_c1(s),Time_c2(s),Time_c3(s),Time_c4(s),Time_o1(s),Time_o2(s),var1,var2,var3,var4,var5,var6,var7,c1,c2,c3,c4,penalty,feasible,o1,o2
593.6520001888275,0.019999980926513672,0.014999866485595703,0.00800013542175293,0.009000062942504883,0.09200000762939453,593.2249999046326,4,1660,146,6,7,3,1,0.3599999999999999,-10.740000000000002,0.19999999999999996,-2.5199999999999996,0,TRUE,14233.674989729081,-26.0
404.28200006484985,0.0,0.0,0.0,0.0,0.0,404.28200006484985,2,1661,128,0,7,2,2,0.17999999999999994,-14.75,0.8,-2.6900000000000013,0,TRUE,10494.317285919877,-0.0
618.0569999217987,0.0,0.0,0.0,0.0,0.0,618.0569999217987,7,1655,128,1,6,2,1,0.2799999999999998,-5.890000000000001,0.6000000000000001,-2.8500000000000014,0,TRUE,14738.909241566545,-0.0
594.8380000591278,0.0,0.0,0.0,0.0,0.0,594.8380000591278,5,1653,138,4,7,2,3,0.28,-8.670000000000002,0.3999999999999999,-2.669999999999998,0,TRUE,15297.338495870204,-1.0
613.3449997901917,0.0,0.0,0.0,0.0,0.0,613.3449997901917,5,1652,127,6,6,3,1,0.2699999999999998,-9.459999999999999,0.10000000000000009,-2.8900000000000006,0,TRUE,15107.720431396898,-26.0
418.5629999637604,0.0,0.0,0.0,0.0,0.0,418.5629999637604,2,1661,140,3,6,0,1,0.3999999999999999,-14.95,0.40000000000000013,-2.6700000000000017,0,TRUE,11471.281314785301,-0.0
577.2330000400543,0.0,0.0,0.0,0.0,0.0,577.2330000400543,6,1655,135,2,6,0,2,0.34999999999999987,-7.6899999999999995,0.5000000000000001,-2.780000000000001,0,TRUE,14173.9103271126,-0.0
670.6270000934601,0.0,0.0,0.0,0.0,0.0,670.6270000934601,5,1657,138,7,8,2,0,0.17999999999999994,-7.91,0.19999999999999996,-2.5299999999999976,0,TRUE,16024.899247265988,-26.0
642.4839999675751,0.0,0.0,0.0,0.0,0.0,642.4839999675751,5,1660,140,5,9,2,2,0.10000000000000009,-7.140000000000002,0.5,-2.379999999999999,0,TRUE,14742.95454734965,-22.0
418.835000038147,0.0,0.0,0.0,0.0,0.0,418.835000038147,2,1661,131,4,6,0,1,0.30999999999999983,-14.95,0.30000000000000004,-2.7600000000000016,0,TRUE,11598.75927062956,-0.0
735.829999923706,0.0,0.0,0.0,0.0,0.0,735.829999923706,8,1660,144,5,6,1,2,0.4399999999999997,-4.140000000000001,0.20000000000000018,-2.6400000000000006,0,TRUE,17174.303968702283,-6.0
466.5439999103546,0.0,0.0,0.0,0.0,0.0,466.5439999103546,3,1660,143,2,6,2,2,0.4299999999999997,-13.14,0.5000000000000001,-2.6499999999999986,0,TRUE,11529.990104366747,-0.0
530.7039999961853,0.0,0.0,0.0,0.0,0.0,530.7039999961853,5,1661,143,0,7,2,3,0.32999999999999985,-8.75,0.8,-2.539999999999999,0,TRUE,13852.543214799693,-0.0
536.5319998264313,0.0,0.0,0.0,0.0,0.0,536.5319998264313,5,1655,139,1,6,3,2,0.3899999999999999,-9.49,0.6000000000000001,-2.7399999999999984,0,TRUE,12977.453889334058,-0.0
487.3340001106262,0.0,0.0,0.0,0.0,0.0,487.3340001106262,3,1660,136,3,7,1,2,0.26,-12.740000000000002,0.5,-2.6199999999999974,0,TRUE,11929.351942021434,-0.0
515.5650000572205,0.0,0.0,0.0,0.0,0.0,515.5490000247955,3,1661,130,6,7,3,3,0.19999999999999996,-12.75,0.19999999999999996,-2.6700000000000017,0,TRUE,13868.831242296812,-16.0
649.2660000324249,0.0,0.0,0.0,0.0,0.0,649.2660000324249,7,1660,138,3,6,3,2,0.3799999999999999,-5.940000000000001,0.40000000000000013,-2.6999999999999993,0,TRUE,15591.085053166327,-19.0
546.3010001182556,0.0,0.0,0.0,0.0,0.0,546.3010001182556,5,1652,143,2,6,3,0,0.4299999999999997,-9.459999999999999,0.5000000000000001,-2.7300000000000004,0,TRUE,14424.81488058948,-0.0
645.0839998722076,0.0,0.0,0.0,0.0,0.0,645.0839998722076,5,1651,131,7,7,3,1,0.20999999999999996,-8.650000000000002,0.09999999999999987,-2.759999999999998,0,TRUE,15590.158611540683,-26.0
593.5929999351501,0.0,0.0,0.0,0.0,0.0,593.5929999351501,5,1657,146,4,7,2,0,0.3599999999999999,-8.71,0.3999999999999999,-2.5500000000000007,0,TRUE,15036.638495870204,-0.0
648.5030000209808,0.0,0.0,0.0,0.0,0.0,648.5030000209808,5,1660,135,7,7,3,2,0.25,-8.740000000000002,0.09999999999999987,-2.629999999999999,0,TRUE,15068.758611540683,-26.0
