Total Time(s),Time_o1(s),Time_o2(s),var1,var2,var3,o1,o2
616.5150001049042,616.3759999275208,0.01900005340576172,9.0,95.0,1.0,-47.0,11520.0
599.6710000038147,599.6710000038147,0.0,21.0,32.0,0.0,-81.0,9652.2
788.4660000801086,788.4660000801086,0.0,21.0,81.0,1.0,-56.00000000000001,14091.6
666.8929998874664,666.8929998874664,0.0,15.0,73.0,1.0,-57.99999999999999,11691.000000000002
646.1310000419617,646.1310000419617,0.0,13.0,79.0,1.0,-60.0,11587.2
885.7339999675751,885.7339999675751,0.0,24.0,91.0,1.0,-53.0,15935.400000000001
688.8650000095367,688.8650000095367,0.0,13.0,95.0,0.0,-69.0,12800.0
405.146999835968,405.146999835968,0.0,1.0,42.0,1.0,-56.99999999999999,6119.200000000001
353.4960000514984,353.4960000514984,0.0,4.0,2.0,0.0,-45.0,4419.05
406.61300015449524,406.61300015449524,0.0,0.0,54.0,2.0,-44.0,6518.25
598.3580000400543,598.3580000400543,0.0,19.0,37.0,1.0,-65.0,9679.8
737.595999956131,737.595999956131,0.0,21.0,68.0,1.0,-57.99999999999999,12913.800000000001
473.40300011634827,473.40199995040894,0.0,17.0,5.0,2.0,-60.0,6592.0
484.58000016212463,484.58000016212463,0.0,6.0,56.0,0.0,-68.0,8108.85
612.5929999351501,612.5929999351501,0.0,22.0,29.0,0.0,-79.0,9578.300000000001
469.5680000782013,469.5680000782013,0.0,14.0,12.0,2.0,-49.0,6675.050000000001
557.1330001354218,557.1330001354218,0.0,10.0,60.0,0.0,-69.0,9381.25
431.88899993896484,431.88899993896484,0.0,3.0,46.0,2.0,-40.0,6792.300000000001
554.7580001354218,554.7580001354218,0.0,22.0,16.0,1.0,-62.0,8376.45
546.6760001182556,546.6760001182556,0.0,13.0,43.0,1.0,-65.0,8858.4
490.106999874115,490.106999874115,0.0,12.0,31.0,1.0,-61.0,7747.200000000001
422.3340001106262,422.3340001106262,0.0,8.0,18.0,2.0,-49.0,6075.650000000001
419.0899999141693,419.0899999141693,0.0,3.0,37.0,1.0,-52.0,6276.6
419.0920000076294,419.0920000076294,0.0,3.0,41.0,2.0,-40.0,6505.8
735.1899998188019,735.1899998188019,0.0,17.0,82.0,1.0,-53.0,12998.400000000001
659.0679998397827,659.0679998397827,0.0,12.0,93.0,0.0,-68.0,12332.1
439.8270001411438,439.8270001411438,0.0,1.0,67.0,0.0,-61.0,7459.200000000001
750.4630000591278,750.4630000591278,0.0,25.0,55.0,0.0,-77.0,12720.0
844.3020000457764,844.3020000457764,0.0,20.0,102.0,2.0,-43.0,15661.250000000004
643.7619998455048,643.7619998455048,0.0,12.0,87.0,2.0,-40.0,11888.400000000001
655.8870000839233,655.8870000839233,0.0,24.0,39.0,1.0,-62.0,10935.6
396.26799988746643,396.26799988746643,0.0,3.0,26.0,1.0,-56.99999999999999,5646.299999999999
564.5709998607635,564.5709998607635,0.0,11.0,62.0,2.0,-49.0,9780.699999999999
496.242999792099,496.242999792099,0.0,18.0,10.0,2.0,-57.99999999999999,7170.75
389.19400000572205,389.19400000572205,0.0,1.0,34.0,2.0,-40.0,5690.4
465.7440001964569,465.7440001964569,0.0,4.0,62.0,1.0,-49.0,7968.05
578.4639999866486,578.4639999866486,0.0,9.0,78.0,0.0,-70.0,10357.199999999999
524.3539998531342,524.3539998531342,0.0,17.0,21.0,1.0,-64.0,7923.200000000001
578.5349998474121,578.5349998474121,0.0,14.0,49.0,2.0,-49.0,9548.1
523.5269999504089,523.5269999504089,0.0,6.0,79.0,2.0,-44.0,9554.400000000001
379.1630001068115,379.1630001068115,0.0,6.0,5.0,2.0,-47.0,4903.5
617.3629999160767,617.3629999160767,0.0,20.0,41.0,1.0,-66.0,10247.500000000002
520.7929999828339,520.7929999828339,0.0,25.0,3.0,0.0,-77.0,7624.0
446.34500002861023,446.34500002861023,0.0,9.0,23.0,1.0,-55.00000000000001,6595.200000000001
418.19600009918213,418.19600009918213,0.0,3.0,39.0,2.0,-43.0,6391.200000000001
552.8389999866486,552.8389999866486,0.0,21.0,19.0,1.0,-60.0,8474.400000000001
355.97300004959106,355.97300004959106,0.0,0.0,19.0,1.0,-44.0,4707.0
745.1260001659393,745.1260001659393,0.0,19.0,77.0,2.0,-47.0,13155.800000000001
480.9960000514984,480.9960000514984,0.0,8.0,45.0,2.0,-48.0,7872.5
547.055999994278,547.0550000667572,0.0,11.0,56.0,0.0,-69.0,9348.1
601.2260000705719,601.2260000705719,0.0,9.0,86.0,2.0,-42.0,10904.399999999998
405.42400002479553,405.42400002479553,0.0,5.0,22.0,0.0,-55.00000000000001,5786.999999999999
596.4270000457764,596.4270000457764,0.0,9.0,86.0,1.0,-48.0,10904.399999999998
604.875,604.875,0.0,12.0,70.0,0.0,-74.0,10631.25
580.7550001144409,580.7550001144409,0.0,9.0,77.0,1.0,-49.0,10288.8
576.5499999523163,576.5499999523163,0.0,6.0,99.0,1.0,-47.0,10811.4
591.2380001544952,591.2380001544952,0.0,12.0,68.0,1.0,-60.0,10483.35
492.12800002098083,492.12800002098083,0.0,16.0,14.0,1.0,-62.0,7170.650000000001
535.8609998226166,535.8609998226166,0.0,7.0,74.0,0.0,-66.0,9521.300000000001
738.0699999332428,738.0699999332428,0.0,25.0,53.0,2.0,-53.0,12524.0
688.4179999828339,688.4179999828339,0.0,12.0,103.0,2.0,-42.0,13071.6
874.1760001182556,874.1760001182556,0.0,20.0,110.0,1.0,-49.0,16371.25
814.1480000019073,814.1480000019073,0.0,20.0,93.0,1.0,-49.0,14862.5
407.6760001182556,407.6760001182556,0.0,2.0,38.0,2.0,-44.0,6119.35
455.4689998626709,455.4689998626709,0.0,4.0,57.0,1.0,-49.0,7672.299999999999
815.7839999198914,815.7839999198914,0.0,23.0,80.0,2.0,-48.0,14585.5
447.5130000114441,447.5130000114441,0.0,10.0,18.0,0.0,-62.0,6430.75
455.77099990844727,455.77099990844727,0.0,17.0,1.0,0.0,-68.0,6259.200000000001
824.6719999313354,824.6719999313354,0.0,19.0,102.0,1.0,-49.0,15328.300000000003
750.7829999923706,750.7829999923706,0.0,17.0,86.0,1.0,-56.00000000000001,13331.2
602.2469999790192,602.2469999790192,0.0,11.0,75.0,1.0,-55.00000000000001,10718.0
662.3040001392365,662.3040001392365,0.0,11.0,102.0,2.0,-42.0,12664.700000000003
722.1699998378754,722.1699998378754,0.0,23.0,58.0,0.0,-78.0,12510.900000000001
497.36699986457825,497.36699986457825,0.0,14.0,22.0,0.0,-73.0,7451.55
432.40899991989136,432.4079999923706,0.0009999275207519531,2.0,52.0,1.0,-56.00000000000001,6895.65
490.53799986839294,490.4759998321533,0.017999887466430664,16,14,1,-62.0,7170.650000000001
345.99399995803833,345.99399995803833,0.0,0,10,1,-49.0,4241.25
506.88899993896484,506.8880000114441,0.0009999275207519531,15,22,0,-74.0,7636.5
477.9079999923706,477.9079999923706,0.0,15,13,2,-52.0,6921.0
355.96599984169006,355.96599984169006,0.0,0,18,1,-49.0,4655.25
