Total Time(s),Time_o1(s),Time_o2(s),var1,var2,var3,o1,o2
660.2999999523163,660.2999999523163,0.0,13.0,84.0,2.0,-43.0,11966.2
552.5639998912811,552.5639998912811,0.0,5.0,99.0,2.0,-35.0,10484.0
626.0150001049042,626.0150001049042,0.0,8.0,110.0,1.0,-42.0,12198.25
689.6710000038147,689.6710000038147,0.0,21.0,57.0,1.0,-62.0,11917.2
422.5640001296997,422.56300020217896,0.0,8.0,20.0,0.0,-68.0,6208.75
504.9869999885559,504.9869999885559,0.0,13.0,30.0,2.0,-55.00000000000001,7873.0
638.2909998893738,638.2909998893738,0.0,16.0,59.0,2.0,-52.0,10831.400000000001
398.82999992370605,398.82999992370605,0.0,5.0,21.0,2.0,-48.0,5726.0
759.1730000972748,759.1730000972748,0.0,23.0,68.0,1.0,-60.0,13453.900000000001
458.6820001602173,458.6820001602173,0.0,3.0,62.0,1.0,-51.0,7709.099999999999
530.5849997997284,530.5849997997284,0.0,21.0,15.0,1.0,-60.0,8112.0
840.989000082016,840.989000082016,0.0,18.0,109.0,1.0,-51.0,15590.699999999999
430.30000019073486,430.30000019073486,0.0,12.0,8.0,1.0,-56.99999999999999,6046.35
833.8410000801086,833.8410000801086,0.0,22.0,87.0,2.0,-48.0,14940.400000000001
386.3129999637604,386.3129999637604,0.0,7.0,6.0,2.0,-48.0,5121.700000000001
370.4850001335144,370.4850001335144,0.0,5.0,8.0,1.0,-51.0,4933.0
468.0920000076294,468.0920000076294,0.0,6.0,51.0,1.0,-53.0,7794.6
636.6189999580383,636.6189999580383,0.0,11.0,92.0,1.0,-53.0,11943.7
534.3180000782013,534.3180000782013,0.0,17.0,25.0,0.0,-73.0,8256.0
624.4470000267029,624.4470000267029,0.0,9.0,97.0,1.0,-45.0,11656.8
445.62000012397766,445.62000012397766,0.0,4.0,52.0,1.0,-45.0,7376.549999999999
650.5950000286102,650.5950000286102,0.0,15.0,71.0,1.0,-55.00000000000001,11532.000000000002
454.3340001106262,454.3340001106262,0.0,9.0,26.0,0.0,-64.0,6800.4
521.960000038147,521.960000038147,0.0,5.0,90.0,1.0,-44.0,9935.0
792.5969998836517,792.5969998836517,0.0,24.0,70.0,1.0,-60.0,13916.250000000002
581.375,581.375,0.0,7.0,96.0,2.0,-44.0,10944.7
665.6180000305176,665.6180000305176,0.0,25.0,37.0,1.0,-65.0,10955.999999999998
400.99000000953674,400.99000000953674,0.0,3.0,31.0,1.0,-53.0,5932.8
471.7559998035431,471.7559998035431,0.0,2.0,77.0,1.0,-49.0,8281.9
607.3069999217987,607.3069999217987,0.0,8.0,101.0,1.0,-47.0,11599.3
684.6740000247955,684.6740000247955,0.0,14.0,84.0,1.0,-55.00000000000001,12265.850000000002
444.69400000572205,444.69400000572205,0.0,7.0,31.0,0.0,-66.0,6739.200000000001
668.5299999713898,668.5299999713898,0.0,16.0,66.0,1.0,-55.00000000000001,11400.850000000002
622.7489998340607,622.7489998340607,0.0,13.0,72.0,1.0,-56.99999999999999,11056.599999999999
459.0510001182556,459.0510001182556,0.0,14.0,11.0,1.0,-62.0,6597.400000000001
478.0720000267029,478.0720000267029,0.0,11.0,29.0,1.0,-62.0,7401.400000000001
642.925999879837,642.925999879837,0.0,11.0,94.0,0.0,-66.0,12087.900000000001
572.0340001583099,572.0340001583099,0.0,6.0,107.0,1.0,-45.0,11314.2
646.1979999542236,646.1979999542236,0.0,11.0,96.0,0.0,-66.0,12232.100000000002
597.7979998588562,597.7979998588562,0.0,21.0,31.0,0.0,-81.0,9561.6
684.8440001010895,684.8440001010895,0.0,21.0,55.0,0.0,-75.0,11736.0
660.0,660.0,0.0,14.0,76.0,1.0,-56.99999999999999,11644.650000000001
712.0899999141693,712.0899999141693,0.0,16.0,82.0,1.0,-51.0,12702.45
794.0680000782013,794.0680000782013,0.0,19.0,91.0,1.0,-55.00000000000001,14372.400000000001
577.7690000534058,577.7690000534058,0.0,15.0,47.0,1.0,-60.0,9623.999999999998
607.5510001182556,607.5510001182556,0.0,9.0,92.0,1.0,-45.0,11314.8
426.15199995040894,426.15199995040894,0.0,6.0,29.0,1.0,-56.00000000000001,6411.900000000001
341.367999792099,341.367999792099,0.0,1.0,7.0,1.0,-53.0,4243.200000000001
633.4340000152588,633.4340000152588,0.0,13.0,73.0,1.0,-64.0,11132.400000000001
394.1390001773834,394.1390001773834,0.0,5.0,19.0,2.0,-44.0,5604.0
529.5139999389648,529.5139999389648,0.0,24.0,7.0,2.0,-64.0,7858.800000000001
511.7170000076294,511.7170000076294,0.0,7.0,62.0,0.0,-68.0,8744.9
759.7220001220703,759.7220001220703,0.0,23.0,68.0,1.0,-60.0,13453.900000000001
533.7630000114441,533.7630000114441,0.0,4.0,102.0,1.0,-38.0,10334.050000000001
589.673999786377,589.673999786377,0.0,7.0,98.0,0.0,-65.0,11074.100000000002
527.2809998989105,527.2809998989105,0.0,16.0,25.0,2.0,-56.99999999999999,8065.5
891.4920001029968,891.4920001029968,0.0,25.0,89.0,0.0,-66.0,16052.0
466.89200019836426,466.89200019836426,0.0,3.0,65.0,1.0,-49.0,7881.0
723.4849998950958,723.4849998950958,0.0,25.0,51.0,0.0,-77.0,12328.000000000002
617.6089999675751,617.6089999675751,0.0,9.0,94.0,1.0,-45.0,11451.599999999999
783.2289998531342,783.2289998531342,0.0,22.0,76.0,2.0,-49.0,13923.45
452.5460000038147,452.5460000038147,0.0,16.0,3.0,0.0,-66.0,6275.799999999999
806.6040000915527,806.6040000915527,0.0,24.0,75.0,1.0,-57.99999999999999,14397.000000000002
536.1180000305176,536.1180000305176,0.0,10.0,53.0,2.0,-45.0,8889.5
420.01900005340576,420.01900005340576,0.0,6.0,26.0,0.0,-64.0,6223.349999999999
511.75,511.75,0.0,15.0,23.0,1.0,-64.0,7716.0
551.2750000953674,551.2750000953674,0.0,22.0,17.0,1.0,-64.0,8468.9
383.45700001716614,383.45700001716614,0.0,6.0,11.0,1.0,-52.0,5280.6
606.7779998779297,606.7779998779297,0.0,16.0,49.0,0.0,-74.0,10017.900000000001
598.4779999256134,598.4779999256134,0.0,25.0,22.0,1.0,-64.0,9485.999999999998
584.2700002193451,584.2700002193451,0.0,22.0,23.0,2.0,-60.0,9023.6
464.25,464.25,0.0,3.0,63.0,0.0,-60.0,7766.4000000000015
486.7810001373291,486.7810001373291,0.0,5.0,65.0,2.0,-42.0,8410.0
499.2279999256134,499.2279999256134,0.0,10.0,40.0,2.0,-47.0,7976.25
435.5750000476837,435.5750000476837,0.0,9.0,20.0,0.0,-65.0,6390.0
479.9430000782013,479.9430000782013,0.0,4.0,71.0,1.0,-48.0,8500.4
434.12099981307983,434.12099981307983,0.0,4.0,43.0,1.0,-49.0,6844.2
342.02999997138977,342.02999997138977,0.0,1.0,7.0,2.0,-43.0,4243.200000000001
784.0400002002716,784.0400002002716,0.0,17.0,99.0,2.0,-45.0,14412.8
488.731999874115,488.731999874115,0.0,16.0,14.0,1.0,-62.0,7170.650000000001
418.2590000629425,418.2590000629425,0.0,2.0,45.0,2.0,-40.0,6507.5
421.68300008773804,421.68300008773804,0.0,10.0,11.0,1.0,-55.00000000000001,5939.0
685.4910001754761,685.4910001754761,0.0,12.0,105.0,1.0,-55.00000000000001,13219.500000000002
678.4630000591278,678.4630000591278,0.0,22.0,47.0,2.0,-56.99999999999999,11242.4
861.5079998970032,861.5079998970032,0.0,21.0,102.0,1.0,-51.0,15994.200000000004
407.3220000267029,407.3220000267029,0.0,11.0,2.0,2.0,-49.0,5454.700000000001
615.7979998588562,615.7979998588562,0.0,19.0,44.0,2.0,-56.00000000000001,10288.1
