Total Time(s),Time_o1(s),Time_o2(s),var1,var2,var3,o1,o2
635.4470000267029,635.4470000267029,0.0,13.0,74.0,0.0,-71.0,11208.2
613.1660001277924,613.1660001277924,0.0,11.0,83.0,2.0,-44.0,11294.800000000001
625.6740000247955,625.6740000247955,0.0,9.0,97.0,1.0,-45.0,11656.8
496.94400000572205,496.94400000572205,0.0,1.0,105.0,1.0,-45.0,9496.0
574.5369999408722,574.5369999408722,0.0,15.0,43.0,2.0,-51.0,9306.000000000002
394.085000038147,394.085000038147,0.0,3.0,26.0,0.0,-53.0,5646.299999999999
663.1449999809265,663.1449999809265,0.0,19.0,55.0,1.0,-57.99999999999999,11244.0
371.5329999923706,371.5329999923706,0.0,2.0,20.0,1.0,-48.0,5121.25
452.6800000667572,452.6800000667572,0.0,17.0,1.0,0.0,-68.0,6259.200000000001
770.0989999771118,770.0989999771118,0.0,25.0,61.0,1.0,-60.0,13308.000000000002
471.28600001335144,471.28600001335144,0.0,4.0,65.0,2.0,-36.0,8145.5
526.2539999485016,526.2539999485016,0.0,16.0,23.0,2.0,-56.00000000000001,7902.800000000001
430.32100009918213,430.32100009918213,0.0,12.0,8.0,1.0,-56.99999999999999,6046.35
494.29699993133545,494.29699993133545,0.0,24.0,0.0,1.0,-61.0,7185.75
450.7869999408722,450.7869999408722,0.0,9.0,25.0,2.0,-52.0,6732.0
447.2480001449585,447.2480001449585,0.0,2.0,62.0,2.0,-38.0,7450.15
576.5310001373291,576.5310001373291,0.0,8.0,86.0,2.0,-44.0,10601.05
379.2000000476837,379.2000000476837,0.0,1.0,29.0,2.0,-40.0,5422.4
582.9900000095367,582.9900000095367,0.0,12.0,63.0,0.0,-71.0,10113.6
390.41799998283386,390.41799998283386,0.0,4.0,20.0,0.0,-56.00000000000001,5483.75
605.1399998664856,605.1399998664856,0.0,21.0,33.0,1.0,-62.0,9742.8
499.32800006866455,499.32800006866455,0.0,8.0,52.0,0.0,-71.0,8338.349999999999
595.5480000972748,595.5480000972748,0.0,22.0,27.0,1.0,-65.0,9393.4
457.15199995040894,457.15199995040894,0.0,6.0,44.0,0.0,-64.0,7354.650000000001
602.654000043869,602.654000043869,0.0,11.0,77.0,1.0,-53.0,10862.2
703.4570000171661,703.4570000171661,0.0,21.0,59.0,1.0,-62.0,12098.4
431.5880000591278,431.5880000591278,0.0,2.0,55.0,1.0,-52.0,7061.999999999999
540.199000120163,540.199000120163,0.0,22.0,14.0,0.0,-82.0,8191.550000000001
607.941999912262,607.9409999847412,0.0,23.0,28.0,2.0,-64.0,9681.900000000001
523.4750001430511,523.4750001430511,0.0,17.0,21.0,0.0,-73.0,7923.200000000001
556.8589999675751,556.8589999675751,0.0,17.0,29.0,1.0,-68.0,8588.800000000001
666.1619999408722,666.1619999408722,0.0,15.0,75.0,1.0,-55.00000000000001,11850.0
575.0390000343323,575.0390000343323,0.0,14.0,47.0,2.0,-52.0,9392.800000000001
598.4720001220703,598.4720001220703,0.0,9.0,85.0,1.0,-47.0,10836.0
564.1170001029968,564.1170001029968,0.0,18.0,30.0,2.0,-57.99999999999999,8871.75
410.5859999656677,410.5859999656677,0.0,8.0,14.0,0.0,-65.0,5809.45
465.05200004577637,465.05200004577637,0.0,5.0,58.0,1.0,-51.0,7983.0
812.8600001335144,812.8600001335144,0.0,17.0,107.0,2.0,-39.0,15078.400000000003
685.0789999961853,685.0789999961853,0.0,19.0,60.0,2.0,-49.0,11678.5
518.9860000610352,518.9860000610352,0.0,10.0,47.0,2.0,-49.0,8468.0
473.1199998855591,473.1199998855591,0.0,15.0,12.0,1.0,-56.99999999999999,6841.5
492.39600014686584,492.39600014686584,0.0,2.0,90.0,2.0,-34.0,9002.75
524.960000038147,524.960000038147,0.0,3.0,99.0,0.0,-62.0,9829.2
371.6269998550415,371.6269998550415,0.0,2.0,18.0,1.0,-49.0,5010.35
605.2080001831055,605.2080001831055,0.0,8.0,99.0,0.0,-68.0,11466.199999999999
397.62199997901917,397.62199997901917,0.0,2.0,34.0,2.0,-42.0,5897.55
447.87199997901917,447.87199997901917,0.0,2.0,61.0,0.0,-61.0,7394.700000000001
534.4509999752045,534.4509999752045,0.0,22.0,12.0,1.0,-60.0,8006.650000000001
363.507000207901,363.507000207901,0.0,3.0,8.0,2.0,-43.0,4614.9
823.271999835968,823.271999835968,0.0,22.0,85.0,1.0,-55.00000000000001,14755.5
505.4430000782013,505.4430000782013,0.0,6.0,69.0,0.0,-65.0,8925.900000000001
428.17400002479553,428.17400002479553,0.0,14.0,1.0,0.0,-64.0,5820.9
522.8000001907349,522.8000001907349,0.0,5.0,87.0,2.0,-36.0,9752.0
444.664999961853,444.664999961853,0.0,3.0,55.0,2.0,-38.0,7308.000000000001
836.2069997787476,836.2069997787476,0.0,21.0,93.0,1.0,-52.0,15178.800000000001
