Total Time(s),Time_o1(s),Time_o2(s),var1,var2,var3,o1,o2
284.40499997138977,284.3359999656677,0.010999917984008789,20.0,23.0,0.0,-82.0,8650.000000000002
192.4539999961853,192.4539999961853,0.0,5.0,8.0,2.0,-42.0,4933.0
423.88100004196167,423.88100004196167,0.0,20.0,100.0,0.0,-73.0,15483.75
226.9119999408722,226.9119999408722,0.0,1.0,66.0,1.0,-56.00000000000001,7405.6
309.38499999046326,309.38499999046326,0.0,22.0,31.0,1.0,-66.0,9763.2
357.2539999485016,357.2539999485016,0.0,24.0,49.0,0.0,-81.0,11897.100000000002
245.21599984169006,245.21599984169006,0.0,11.0,29.0,1.0,-62.0,7401.400000000001
273.80099987983704,273.80099987983704,0.0,14.0,34.0,1.0,-65.0,8383.35
301.22199988365173,301.22199988365173,0.0,25.0,20.0,2.0,-64.0,9290.0
369.5940001010895,369.5940001010895,0.0,14.0,100.0,0.0,-70.0,13508.250000000002
333.4839999675751,333.4839999675751,0.0,10.0,103.0,0.0,-61.0,12402.0
205.4760000705719,205.4760000705719,0.0,5.0,20.0,2.0,-47.0,5665.0
223.3789999485016,223.3789999485016,0.0,1.0,62.0,1.0,-53.0,7191.200000000001
313.74899983406067,313.74899983406067,0.0,23.0,31.0,1.0,-70.0,9964.800000000001
297.70300006866455,297.70300006866455,0.0,24.0,20.0,2.0,-64.0,9108.75
224.60899996757507,224.60899996757507,0.0,11.0,17.0,0.0,-65.0,6536.200000000001
429.58300018310547,429.58300018310547,0.0,20.0,107.0,1.0,-52.0,16105.000000000004
278.28399991989136,278.28399991989136,0.0,14.0,39.0,1.0,-64.0,8771.6
360.69000005722046,360.69000005722046,0.0,14.0,93.0,1.0,-53.0,12964.7
272.0239999294281,272.0239999294281,0.0,24.0,8.0,0.0,-75.0,7954.950000000001
238.5199999809265,238.5199999809265,0.0,11.0,23.0,0.0,-69.0,6968.8
232.92799997329712,232.92799997329712,0.0,8.0,31.0,1.0,-56.99999999999999,6940.799999999999
286.6599998474121,286.6599998474121,0.0,23.0,17.0,0.0,-79.0,8644.6
312.978000164032,312.978000164032,0.0,23.0,31.0,2.0,-62.0,9964.800000000001
244.25899982452393,244.25899982452393,0.0,11.0,29.0,0.0,-70.0,7401.400000000001
307.87799978256226,307.87799978256226,0.0,22.0,31.0,2.0,-61.0,9763.2
182.48600006103516,182.48600006103516,0.0,2.0,8.0,1.0,-49.0,4455.85
202.61299991607666,202.61299991607666,0.0,4.0,23.0,0.0,-56.99999999999999,5661.2
301.1600000858307,301.1600000858307,0.0,23.0,24.0,1.0,-68.0,9304.7
303.1009998321533,303.1009998321533,0.0,24.0,22.0,0.0,-81.0,9301.05
249.94700002670288,249.94700002670288,0.0,23.0,0.0,1.0,-61.0,7041.500000000001
277.42399978637695,277.42399978637695,0.0,16.0,31.0,1.0,-62.0,8553.599999999999
235.98799991607666,235.98799991607666,0.0,11.0,23.0,1.0,-56.00000000000001,6968.8
187.98600006103516,187.98600006103516,0.0,4.0,8.0,0.0,-49.0,4773.95
377.539999961853,377.539999961853,0.0,24.0,62.0,1.0,-61.0,13147.050000000001
270.79499983787537,270.79499983787537,0.0,20.0,16.0,0.0,-71.0,8028.75
272.73799991607666,272.73799991607666,0.0,21.0,17.0,0.0,-74.0,8293.2
303.17599987983704,303.17599987983704,0.0,24.0,23.0,0.0,-83.0,9397.2
218.60800004005432,218.60800004005432,0.0,7.0,22.0,1.0,-52.0,6156.9
282.65499997138977,282.65499997138977,0.0,20.0,22.0,0.0,-78.0,8561.249999999998
303.5460000038147,303.5460000038147,0.0,23.0,26.0,0.0,-83.0,9493.3
246.04900002479553,246.04900002479553,0.0,11.0,31.0,0.0,-73.0,7545.6
288.8430001735687,288.8430001735687,0.0,24.0,17.0,0.0,-82.0,8820.3
235.47300004959106,235.47300004959106,0.0,11.0,22.0,0.0,-73.0,6896.7
197.17700004577637,197.17700004577637,0.0,6.0,8.0,1.0,-52.0,5092.05
179.2810001373291,179.2810001373291,0.0,1.0,8.0,0.0,-49.0,4296.799999999999
270.7660000324249,270.7660000324249,0.0,20.0,17.0,0.0,-70.0,8117.499999999998
226.49000000953674,226.49000000953674,0.0,11.0,17.0,1.0,-56.99999999999999,6536.200000000001
282.6970000267029,282.6970000267029,0.0,20.0,22.0,0.0,-78.0,8561.249999999998
241.89400005340576,241.89400005340576,0.0,12.0,22.0,0.0,-66.0,7081.65
254.4170000553131,254.4170000553131,0.0,7.0,55.0,0.0,-65.0,8292.0
278.2660000324249,278.2660000324249,0.0,25.0,8.0,1.0,-65.0,8114.0
284.3029999732971,284.3029999732971,0.0,20.0,23.0,1.0,-66.0,8650.000000000002
224.28400015830994,224.28400015830994,0.0,10.0,9.0,1.0,-55.00000000000001,5798.5
295.6229999065399,295.6229999065399,0.0,24.0,20.0,0.0,-82.0,9108.75
212.77500009536743,212.77500009536743,0.0,6.0,23.0,0.0,-60.0,6034.800000000001
283.32999992370605,283.32999992370605,0.0,24.0,15.0,1.0,-65.0,8628.0
204.86500000953674,204.86500000953674,0.0,6.0,16.0,0.0,-57.99999999999999,5594.85
326.8019998073578,326.8019998073578,0.0,23.0,40.0,0.0,-83.0,10813.500000000002
195.53099989891052,195.53099989891052,0.0,6.0,8.0,0.0,-52.0,5092.05
222.31199979782104,222.31199979782104,0.0,2.0,55.0,1.0,-52.0,7061.999999999999
205.22699999809265,205.22699999809265,0.0,6.0,16.0,0.0,-57.99999999999999,5594.85
232.40400004386902,232.40400004386902,0.0,15.0,6.0,0.0,-65.0,6364.5
304.3619999885559,304.3619999885559,0.0,24.0,24.0,0.0,-84.0,9493.350000000002
331.81700015068054,331.81700015068054,0.0,24.0,40.0,0.0,-82.0,11031.75
451.52300000190735,451.52300000190735,0.0,23.0,102.0,0.0,-66.0,16660.100000000002
194.10899996757507,194.10899996757507,0.0,2.0,20.0,0.0,-56.00000000000001,5121.25
212.27600002288818,212.27600002288818,0.0,6.0,23.0,1.0,-53.0,6034.800000000001
195.80200004577637,195.80200004577637,0.0,6.0,8.0,0.0,-52.0,5092.05
287.66799998283386,287.66799998283386,0.0,25.0,15.0,0.0,-78.0,8800.0
218.47699999809265,218.47699999809265,0.0,7.0,23.0,0.0,-68.0,6221.6
278.54699993133545,278.54699993133545,0.0,19.0,24.0,0.0,-82.0,8550.100000000002
180.7610001564026,180.7610001564026,0.0,2.0,9.0,0.0,-51.0,4511.3
217.44799995422363,217.44799995422363,0.0,11.0,9.0,1.0,-55.00000000000001,5959.400000000001
258.40899991989136,258.40899991989136,0.0,15.0,24.0,1.0,-60.0,7795.500000000001
280.8010001182556,280.8010001182556,0.0,22.0,16.0,0.0,-74.0,8376.45
199.97000002861023,199.97000002861023,0.0,4.0,22.0,0.0,-53.0,5602.049999999999
201.88899993896484,201.88899993896484,0.0,7.0,8.0,0.0,-60.0,5251.1
205.34699988365173,205.34699988365173,0.0,6.0,16.0,0.0,-57.99999999999999,5594.85
263.2460000514984,263.2460000514984,0.0,25.0,3.0,0.0,-77.0,7624.0
217.69199991226196,217.69199991226196,0.0,7.0,22.0,1.0,-52.0,6156.9
200.25899982452393,200.25899982452393,0.0,3.0,24.0,0.0,-52.0,5531.7
212.65800023078918,212.65800023078918,0.0,6.0,23.0,0.0,-60.0,6034.800000000001
208.6729998588562,208.6729998588562,0.0,0.0,54.0,0.0,-56.99999999999999,6518.25
237.38700008392334,237.38700008392334,0.0,10.0,23.0,0.0,-68.0,6782.0
203.85599994659424,203.85599994659424,0.0,1.0,39.0,0.0,-57.99999999999999,5958.4
184.42499995231628,184.42499995231628,0.0,2.0,11.0,0.0,-53.0,4622.2
175.51399993896484,175.51399993896484,0.0,0.0,8.0,1.0,-48.0,4137.75
195.4630000591278,195.4630000591278,0.0,6.0,8.0,0.0,-52.0,5092.05
174.82400012016296,174.82400012016296,0.0,0.0,7.0,0.0,-44.0,4086.0
196.885999917984,196.885999917984,0.0,2.0,23.0,0.0,-53.0,5287.6
199.34599995613098,199.34599995613098,0.0,3.0,23.0,0.0,-60.0,5474.400000000001
268.845999956131,268.845999956131,0.0,24.0,7.0,0.0,-79.0,7858.800000000001
274.00600004196167,274.00600004196167,0.0,24.0,9.0,0.0,-78.0,8051.1
280.0680000782013,280.0680000782013,0.0,21.0,20.0,0.0,-77.0,8565.0
206.97299981117249,206.97299981117249,0.0,5.0,22.0,0.0,-55.00000000000001,5786.999999999999
342.37599992752075,342.37599992752075,0.0,11.0,108.0,0.0,-62.0,13097.300000000001
196.606999874115,196.606999874115,0.0,7.0,4.0,0.0,-56.00000000000001,4992.300000000001
268.5769999027252,268.5769999027252,0.0,24.0,7.0,0.0,-79.0,7858.800000000001
255.56300020217896,255.56300020217896,0.0,14.0,23.0,0.0,-75.0,7529.200000000002
195.34400010108948,195.34400010108948,0.0,2.0,20.0,0.0,-56.00000000000001,5121.25
227.29299998283386,227.29299998283386,0.0,11.0,16.0,0.0,-65.0,6464.099999999999
278.17900013923645,278.17900013923645,0.0,19.0,24.0,0.0,-82.0,8550.100000000002
238.864000082016,238.864000082016,0.0,11.0,23.0,0.0,-69.0,6968.8
229.20899987220764,229.20899987220764,0.0,7.0,30.0,0.0,-69.0,6674.5
178.18700003623962,178.18700003623962,0.0,1.0,4.0,0.0,-47.0,4082.4
210.8069999217987,210.8069999217987,0.0,7.0,15.0,0.0,-60.0,5704.0
199.90000009536743,199.90000009536743,0.0,7.0,4.0,0.0,-56.00000000000001,4992.300000000001
205.1340000629425,205.1340000629425,0.0,6.0,15.0,0.0,-61.0,5532.0
202.06299996376038,202.06299996376038,0.0,7.0,6.0,0.0,-56.99999999999999,5121.700000000001
195.7590000629425,195.7590000629425,0.0,5.0,7.0,1.0,-52.0,4872.0
228.0550000667572,228.0550000667572,0.0,11.0,17.0,0.0,-65.0,6536.200000000001
221.37299990653992,221.37299990653992,0.0,11.0,9.0,0.0,-62.0,5959.400000000001
