Total Time(s),Time_o1(s),Time_o2(s),var1,var2,var3,o1,o2
512.6270000934601,512.6270000934601,0.0,12.0,37.0,2.0,-52.0,8190.9
606.0550000667572,606.0550000667572,0.0,12.0,73.0,1.0,-57.99999999999999,10853.100000000002
676.7370002269745,676.7370002269745,0.0,24.0,43.0,1.0,-65.0,11320.2
409.27800011634827,409.27800011634827,0.0,9.0,8.0,0.0,-62.0,5569.2
791.5429999828339,791.5429999828339,0.0,21.0,83.0,1.0,-56.99999999999999,14272.800000000001
490.7869999408722,490.7869999408722,0.0,2.0,89.0,1.0,-48.0,8947.3
353.8680000305176,353.8680000305176,0.0,3.0,4.0,0.0,-45.0,4385.700000000001
471.4500000476837,471.44900012016296,0.0,8.0,40.0,1.0,-55.00000000000001,7539.75
520.683000087738,520.683000087738,0.0,17.0,20.0,1.0,-60.0,7840.0
707.9409999847412,707.9400000572205,0.0,23.0,55.0,1.0,-62.0,12228.0
451.529000043869,451.529000043869,0.0,0.0,85.0,0.0,-60.0,8122.5
753.8250000476837,753.8250000476837,0.0,14.0,109.0,1.0,-49.0,14207.099999999999
837.2490000724792,837.2490000724792,0.0,24.0,81.0,2.0,-43.0,14973.900000000001
524.2969999313354,524.2969999313354,0.0,10.0,50.0,2.0,-45.0,8678.75
845.4000000953674,845.4000000953674,0.0,24.0,82.0,0.0,-71.0,15070.050000000003
516.5769999027252,516.5769999027252,0.0,17.0,19.0,1.0,-64.0,7756.800000000001
905.2929999828339,905.2929999828339,0.0,24.0,98.0,0.0,-66.0,16608.45
551.441999912262,551.441999912262,0.0,25.0,10.0,0.0,-83.0,8310.0
703.8029999732971,703.8020000457764,0.0,13.0,99.0,2.0,-40.0,13103.199999999999
498.3949999809265,498.3949999809265,0.0,14.0,22.0,2.0,-52.0,7451.55
539.1489999294281,539.1480000019073,0.0009999275207519531,14.0,36.0,2.0,-55.00000000000001,8538.650000000001
542.6210000514984,542.6210000514984,0.0,15.0,34.0,1.0,-64.0,8590.5
546.1820001602173,546.1820001602173,0.0,23.0,13.0,0.0,-77.0,8267.400000000001
492.33899998664856,492.33899998664856,0.0,3.0,83.0,1.0,-44.0,8912.400000000001
463.2649998664856,463.2649998664856,0.0,4.0,62.0,1.0,-49.0,7968.05
652.4860000610352,652.4860000610352,0.0,13.0,83.0,0.0,-73.0,11890.4
504.09100008010864,504.09100008010864,0.0,6.0,72.0,2.0,-49.0,9114.45
401.4910001754761,401.4910001754761,0.0,3.0,29.0,0.0,-60.0,5818.200000000001
799.3109998703003,799.3109998703003,0.0,18.0,96.0,2.0,-45.0,14485.050000000001
559.6189999580383,559.6189999580383,0.0,15.0,40.0,2.0,-53.0,9067.5
790.0230000019073,790.0230000019073,0.0,18.0,94.0,2.0,-47.0,14314.949999999999
428.1109998226166,428.1109998226166,0.0,7.0,23.0,1.0,-56.00000000000001,6221.6
534.8289999961853,534.8289999961853,0.0,18.0,22.0,1.0,-64.0,8191.349999999999
499.385999917984,499.38499999046326,0.0,10.0,40.0,2.0,-47.0,7976.25
653.2139999866486,653.2139999866486,0.0,20.0,48.0,2.0,-56.99999999999999,10868.750000000002
515.4329998493195,515.4329998493195,0.0,8.0,61.0,1.0,-53.0,8937.3
405.37600016593933,405.37600016593933,0.0,6.0,19.0,0.0,-62.0,5783.4
410.1689999103546,410.1689999103546,0.0,1.0,49.0,1.0,-56.00000000000001,6494.400000000001
605.4230000972748,605.4230000972748,0.0,24.0,26.0,2.0,-60.0,9685.650000000001
710.0529999732971,710.0529999732971,0.0,23.0,55.0,1.0,-62.0,12228.0
459.05999994277954,459.05999994277954,0.0,2.0,70.0,1.0,-48.0,7893.75
538.382000207901,538.3810000419617,0.0,6.0,86.0,1.0,-49.0,9994.35
558.9450001716614,558.9450001716614,0.0,17.0,32.0,2.0,-55.00000000000001,8838.4
556.4659998416901,556.4659998416901,0.0,15.0,38.0,0.0,-74.0,8908.5
631.9029998779297,631.9029998779297,0.0,18.0,49.0,2.0,-53.0,10487.699999999999
858.0039999485016,858.0029997825623,0.0,23.0,95.0,1.0,-52.0,16000.0
479.25999999046326,479.2589998245239,0.0,18.0,6.0,2.0,-49.0,6830.549999999999
493.9390001296997,493.9390001296997,0.0,2.0,90.0,0.0,-61.0,9002.75
398.98800015449524,398.98800015449524,0.0,8.0,8.0,0.0,-60.0,5410.15
408.3589999675751,408.3589999675751,0.0,6.0,19.0,1.0,-53.0,5783.4
677.1749999523163,677.1749999523163,0.0,22.0,47.0,1.0,-64.0,11242.4
430.22699999809265,430.22699999809265,0.0,1.0,58.0,2.0,-40.0,6976.800000000001
578.4349999427795,578.4349999427795,0.0,10.0,70.0,1.0,-51.0,10083.75
758.1239998340607,758.1239998340607,0.0,20.0,78.0,2.0,-52.0,13531.25
638.1620001792908,638.1620001792908,0.0,16.0,59.0,2.0,-52.0,10831.400000000001
627.9019999504089,627.9019999504089,0.0,24.0,31.0,1.0,-66.0,10166.400000000001
530.9850001335144,530.9850001335144,0.0,3.0,107.0,1.0,-43.0,10287.600000000002
711.970999956131,711.970999956131,0.0,25.0,47.0,0.0,-77.0,11936.0
410.70099997520447,410.70099997520447,0.0,5.0,29.0,2.0,-36.0,6214.0
485.518000125885,485.518000125885,0.0,6.0,56.0,1.0,-55.00000000000001,8108.85
511.4430000782013,511.4430000782013,0.0,15.0,25.0,2.0,-53.0,7875.0
481.0750000476837,481.0750000476837,0.0,10.0,32.0,1.0,-56.99999999999999,7414.25
409.94599986076355,409.94599986076355,0.0,9.0,8.0,1.0,-56.00000000000001,5569.2
553.9880001544952,553.9880001544952,0.0,18.0,26.0,0.0,-79.0,8531.55
509.5199999809265,509.5199999809265,0.0,21.0,8.0,0.0,-74.0,7477.8
342.44999980926514,342.44999980926514,0.0,0.0,13.0,1.0,-45.0,4396.5
574.0460000038147,574.0460000038147,0.0,19.0,31.0,0.0,-79.0,9158.400000000001
444.5620000362396,444.5620000362396,0.0,16.0,1.0,1.0,-62.0,6113.1
355.37999987602234,355.37999987602234,0.0,1.0,14.0,1.0,-48.0,4618.4
468.99399995803833,468.99399995803833,0.0,1.0,82.0,1.0,-48.0,8263.2
639.4839999675751,639.4839999675751,0.0,12.0,87.0,2.0,-40.0,11888.400000000001
