Total Time(s),Time_o1(s),Time_o2(s),var1,var2,var3,o1,o2
283.6840000152588,283.61899995803833,0.012000083923339844,16.0,29.0,1.0,-64.0,8390.900000000001
274.9319999217987,274.9319999217987,0.0,9.0,62.0,0.0,-68.0,9262.8
213.21600008010864,213.21600008010864,0.0,8.0,6.0,1.0,-57.99999999999999,5277.049999999999
277.78000020980835,277.78000020980835,0.0,20.0,16.0,1.0,-65.0,8028.75
286.6659998893738,286.6659998893738,0.0,6.0,97.0,0.0,-66.0,10685.700000000003
377.6510000228882,377.6510000228882,0.0,25.0,57.0,1.0,-64.0,12916.0
261.4619998931885,261.4619998931885,0.0,0.0,100.0,1.0,-55.00000000000001,8898.75
350.92199993133545,350.92199993133545,0.0,24.0,33.0,1.0,-65.0,10358.7
214.49199986457825,214.49199986457825,0.0,11.0,3.0,2.0,-51.0,5526.799999999999
302.3180000782013,302.3180000782013,0.0,19.0,35.0,1.0,-61.0,9506.0
213.59100008010864,213.59100008010864,0.0,6.0,21.0,1.0,-56.00000000000001,5909.099999999999
275.46299982070923,275.46299982070923,0.0,10.0,53.0,2.0,-45.0,8889.5
279.5239999294281,279.5239999294281,0.0,12.0,51.0,2.0,-49.0,9226.200000000003
314.1710000038147,314.1710000038147,0.0,22.0,32.0,0.0,-81.0,9855.65
307.32599997520447,307.32599997520447,0.0,16.0,48.0,1.0,-56.00000000000001,9936.55
313.45099997520447,313.45099997520447,0.0,9.0,95.0,0.0,-68.0,11520.0
364.3369998931885,364.3369998931885,0.0,15.0,89.0,2.0,-40.0,12963.0
229.0659999847412,229.0659999847412,0.0,14.0,6.0,1.0,-57.99999999999999,6209.15
233.13199996948242,233.13199996948242,0.0,3.0,59.0,1.0,-49.0,7537.2
208.40300011634827,208.40300011634827,0.0,4.0,31.0,1.0,-48.0,6134.4
422.0530002117157,422.0530002117157,0.0,20.0,102.0,0.0,-74.0,15661.250000000004
287.84500002861023,287.84500002861023,0.0,12.0,58.0,1.0,-60.0,9743.85
361.6089999675751,361.6089999675751,0.0,15.0,89.0,1.0,-51.0,12963.0
201.44600009918213,201.44600009918213,0.0,2.0,31.0,0.0,-57.99999999999999,5731.200000000001
236.0420000553131,236.0420000553131,0.0,11.0,22.0,1.0,-61.0,6896.7
313.10000014305115,313.10000014305115,0.0,15.0,57.0,1.0,-56.00000000000001,10418.999999999998
293.0769999027252,293.0769999027252,0.0,24.0,18.0,2.0,-64.0,8916.45
228.6289999485016,228.6289999485016,0.0,7.0,34.0,1.0,-52.0,6933.300000000001
306.0869998931885,306.0869998931885,0.0,13.0,62.0,1.0,-60.0,10298.599999999999
229.3180000782013,229.3180000782013,0.0,2.0,60.0,2.0,-39.0,7339.25
325.0769999027252,325.0769999027252,0.0,15.0,63.0,1.0,-56.99999999999999,10896.000000000002
212.25699996948242,212.25699996948242,0.0,2.0,44.0,0.0,-61.0,6452.05
