Total Time(s),Time_o1(s),Time_o2(s),var1,var2,var3,o1,o2
226.2779998779297,226.2779998779297,0.0,5.0,30.0,1.0,-53.0,6275.0
268.23200011253357,268.23200011253357,0.0,5.0,82.0,0.0,-57.99999999999999,9447.0
238.96799993515015,238.96799993515015,0.0,11.0,19.0,1.0,-61.0,6680.400000000001
344.9079999923706,344.9079999923706,0.0,10.0,109.0,0.0,-61.0,12823.5
308.20499992370605,308.20499992370605,0.0,10.0,76.0,0.0,-65.0,10505.25
265.52100014686584,265.52100014686584,0.0,11.0,42.0,1.0,-56.00000000000001,8338.7
232.5460000038147,232.5460000038147,0.0,13.0,8.0,1.0,-60.0,6205.4
435.5349998474121,435.5349998474121,0.0,23.0,91.0,2.0,-42.0,15622.800000000001
249.52900004386902,249.52900004386902,0.0,18.0,6.0,1.0,-66.0,6830.549999999999
383.96399998664856,383.96399998664856,0.0,23.0,64.0,1.0,-61.0,13076.7
257.9319999217987,257.9319999217987,0.0,1.0,99.0,1.0,-47.0,9174.4
338.789999961853,338.789999961853,0.0,18.0,55.0,0.0,-75.0,10998.0
427.06699991226196,427.06699991226196,0.0,19.0,103.0,0.0,-71.0,15415.200000000004
347.4379999637604,347.4379999637604,0.0,16.0,69.0,2.0,-44.0,11644.9
380.29299998283386,380.29299998283386,0.0,24.0,61.0,1.0,-60.0,13050.900000000001
266.72699999809265,266.72699999809265,0.0,22.0,7.0,1.0,-68.0,7544.400000000001
248.99900007247925,248.99900007247925,0.0,18.0,6.0,1.0,-66.0,6830.549999999999
256.8699998855591,256.8699998855591,0.0,17.0,14.0,2.0,-55.00000000000001,7340.800000000001
209.37599992752075,209.37599992752075,0.0,4.0,29.0,1.0,-47.0,6016.1
282.047000169754,282.047000169754,0.0,13.0,43.0,2.0,-51.0,8858.4
186.6819999217987,186.6819999217987,0.0,0.0,20.0,0.0,-48.0,4758.75
284.25300002098083,284.25300002098083,0.0,9.0,65.0,1.0,-49.0,9468.0
312.8619999885559,312.8619999885559,0.0,12.0,75.0,1.0,-57.99999999999999,11001.0
370.8129999637604,370.8129999637604,0.0,24.0,57.0,0.0,-77.0,12666.3
255.26600003242493,255.26600003242493,0.0,9.0,45.0,2.0,-52.0,8100.0
445.3529999256134,445.3529999256134,0.0,21.0,107.0,0.0,-70.0,16447.2
316.9210000038147,316.9210000038147,0.0,25.0,25.0,2.0,-57.99999999999999,9780.0
271.4450001716614,271.4450001716614,0.0,4.0,97.0,0.0,-57.99999999999999,10038.300000000001
185.56500005722046,185.56500005722046,0.0,4.0,2.0,1.0,-45.0,4419.05
248.0199999809265,248.0199999809265,0.0,13.0,20.0,1.0,-61.0,7115.0
249.32400012016296,249.32400012016296,0.0,13.0,21.0,1.0,-57.99999999999999,7190.799999999999
220.87599992752075,220.87599992752075,0.0,3.0,42.0,1.0,-53.0,6563.099999999999
379.72199988365173,379.72199988365173,0.0,15.0,100.0,2.0,-40.0,13837.5
227.81900000572205,227.81900000572205,0.0,5.0,43.0,1.0,-52.0,7068.000000000001
215.39100003242493,215.39100003242493,0.0,5.0,30.0,1.0,-53.0,6275.0
353.99000000953674,353.99000000953674,0.0,18.0,66.0,1.0,-57.99999999999999,11933.550000000001
340.3699998855591,340.3699998855591,0.0,12.0,94.0,1.0,-55.00000000000001,12406.050000000001
297.10400009155273,297.10400009155273,0.0,25.0,16.0,2.0,-62.0,8898.0
416.1579999923706,416.1579999923706,0.0,17.0,108.0,1.0,-47.0,15161.6
227.72499990463257,227.72499990463257,0.0,3.0,51.0,1.0,-52.0,7078.800000000001
228.0039999485016,228.0039999485016,0.0,4.0,50.0,1.0,-48.0,7258.25
328.57299995422363,328.57299995422363,0.0,16.0,61.0,0.0,-71.0,10994.1
260.37900018692017,260.37900018692017,0.0,10.0,43.0,1.0,-56.99999999999999,8187.0
256.1419999599457,256.1419999599457,0.0,9.0,42.0,1.0,-56.00000000000001,7894.799999999999
286.0499999523163,286.0499999523163,0.0,17.0,30.0,2.0,-52.0,8672.0
454.21399998664856,454.21399998664856,0.0,24.0,96.0,1.0,-53.0,16416.15
414.5769999027252,414.5769999027252,0.0,22.0,84.0,2.0,-44.0,14663.050000000001
299.9390001296997,299.9390001296997,0.0,12.0,65.0,1.0,-60.0,10261.5
320.7339999675751,320.7339999675751,0.0,12.0,80.0,1.0,-55.00000000000001,11370.75
201.92499995231628,201.92499995231628,0.0,5.0,16.0,2.0,-40.0,5421.0
361.3069999217987,361.3069999217987,0.0,22.0,56.0,0.0,-81.0,12074.450000000003
365.28400015830994,365.28400015830994,0.0,24.0,53.0,2.0,-53.0,12281.700000000003
220.65499997138977,220.65499997138977,0.0,8.0,19.0,2.0,-45.0,6142.2
263.8479998111725,263.8479998111725,0.0,16.0,22.0,2.0,-56.00000000000001,7821.45
343.8580000400543,343.8580000400543,0.0,13.0,90.0,1.0,-56.99999999999999,12421.0
411.085000038147,411.085000038147,0.0,20.0,92.0,0.0,-71.0,14773.75
224.6159999370575,224.6159999370575,0.0,5.0,41.0,1.0,-51.0,6946.000000000001
253.4210000038147,253.4210000038147,0.0,4.0,76.0,1.0,-40.0,8796.150000000001
426.49900007247925,426.49900007247925,0.0,20.0,102.0,1.0,-51.0,15661.250000000004
247.64599990844727,247.64599990844727,0.0,20.0,3.0,2.0,-55.00000000000001,6875.0
353.60199999809265,353.60199999809265,0.0,17.0,71.0,0.0,-78.0,12083.200000000003
289.16200017929077,289.16200017929077,0.0,23.0,17.0,1.0,-64.0,8644.6
261.1569998264313,261.1569998264313,0.0,3.0,90.0,0.0,-61.0,9313.5
256.13700008392334,256.13700008392334,0.0,18.0,11.0,0.0,-77.0,7255.799999999999
348.779000043869,348.779000043869,0.0,21.0,55.0,0.0,-75.0,11736.0
414.4119999408722,414.4119999408722,0.0,19.0,99.0,1.0,-52.0,15067.599999999999
245.00300002098083,245.00300002098083,0.0,4.0,69.0,1.0,-45.0,8382.1
252.42400002479553,252.42400002479553,0.0,12.0,29.0,1.0,-65.0,7599.300000000001
239.3289999961853,239.3289999961853,0.0,8.0,36.0,1.0,-56.00000000000001,7273.549999999999
247.17899990081787,247.17899990081787,0.0,2.0,81.0,2.0,-34.0,8503.7
273.7629997730255,273.7629997730255,0.0,10.0,54.0,2.0,-43.0,8959.75
412.41299986839294,412.41299986839294,0.0,17.0,109.0,1.0,-48.0,15244.8
239.42999982833862,239.42999982833862,0.0,0.0,94.0,2.0,-42.0,8588.25
429.62199997901917,429.62199997901917,0.0,21.0,99.0,0.0,-73.0,15722.4
275.95300006866455,275.95300006866455,0.0,4.0,106.0,2.0,-26.0,10570.650000000001
213.48300004005432,213.48300004005432,0.0,9,8,0,-62.0,5569.2
260.07299995422363,260.07299995422363,0.0,18,12,0,-73.0,7340.85
220.70099997520447,220.70099997520447,0.0,8,20,0,-68.0,6208.75
213.1269998550415,213.1269998550415,0.0,8,12,0,-66.0,5676.349999999999
251.68800020217896,251.68800020217896,0.0,18,8,1,-66.0,7000.65
198.77900004386902,198.77900004386902,0.0,8,1,0,-56.00000000000001,4944.299999999999
187.29299998283386,187.29299998283386,0.0,2,11,0,-53.0,4622.2
192.14400005340576,192.14400005340576,0.0,1,20,0,-53.0,4940.0
207.05799984931946,207.05799984931946,0.0,11,0,0,-62.0,5310.5
184.6840000152588,184.6840000152588,0.0,4,1,0,-51.0,4359.9
188.62200021743774,188.62200021743774,0.0,2,13,0,-52.0,4733.1
255.30999994277954,255.30999994277954,0.0,17,13,0,-71.0,7257.6
275.17199993133545,275.17199993133545,0.0,22,13,0,-73.0,8099.099999999999
213.29100012779236,213.29100012779236,0.0,8,12,0,-66.0,5676.349999999999
196.73300004005432,196.73300004005432,0.0,7,3,0,-57.99999999999999,4927.6
183.4579999446869,183.4579999446869,0.0,2,9,1,-48.0,4511.3
257.62400007247925,257.6230001449585,0.0,21,6,0,-70.0,7296.5999999999985
216.17400002479553,216.17400002479553,0.0,9,12,0,-61.0,5842.8
193.10999989509583,193.10999989509583,0.0,5,7,0,-55.00000000000001,4872.0
184.05400013923645,184.05400013923645,0.0,4,0,0,-52.0,4300.75
184.31299996376038,184.31299996376038,0.0,4,0,1,-48.0,4300.75
187.93299984931946,187.93299984931946,0.0,4,6,0,-49.0,4655.65
247.87600016593933,247.87600016593933,0.0,17,9,0,-71.0,6924.800000000001
235.4319999217987,235.4319999217987,0.0,14,7,0,-69.0,6286.800000000001
203.58799982070923,203.58799982070923,0.0,7,9,0,-62.0,5315.800000000001
196.31700015068054,196.31700015068054,0.0,7,1,0,-56.99999999999999,4798.2
252.62700009346008,252.62700009346008,0.0,22,1,0,-69.0,6989.7
343.81699991226196,343.81699991226196,0.0,20,56,0,-81.0,11578.750000000002
256.779000043869,256.779000043869,0.0,19,11,0,-77.0,7420.4
214.28900003433228,214.28900003433228,0.0,8,14,1,-53.0,5809.45
184.0199999809265,184.0199999809265,0.0,4,0,0,-52.0,4300.75
195.07400012016296,195.07400012016296,0.0,4,12,0,-55.00000000000001,5010.549999999999
200.989000082016,200.989000082016,0.0,6,10,0,-61.0,5217.75
234.20000004768372,234.20000004768372,0.0,13,13,0,-66.0,6584.4
188.8880000114441,188.8880000114441,0.0,5,1,0,-52.0,4506.0
263.9630000591278,263.9630000591278,0.0,20,12,0,-73.0,7673.75
208.33100008964539,208.33100008964539,0.0,7,13,0,-60.0,5574.6
196.6340000629425,196.6340000629425,0.0,7,3,0,-57.99999999999999,4927.6
212.99699997901917,212.99699997901917,0.0,8,12,0,-66.0,5676.349999999999
254.114000082016,254.114000082016,0.0,22,2,1,-62.0,7082.150000000001
236.7610001564026,236.7610001564026,0.0,16,5,0,-62.0,6438.5
196.79500007629395,196.79500007629395,0.0,7,3,0,-57.99999999999999,4927.6
240.83399987220764,240.83399987220764,0.0,15,10,0,-66.0,6682.5
255.78999996185303,255.78999996185303,0.0,19,10,0,-71.0,7333.500000000001
179.3309998512268,179.3309998512268,0.0,0,10,0,-47.0,4241.25
184.33899998664856,184.33899998664856,0.0,4,1,0,-51.0,4359.9
210.33300018310547,210.33300018310547,0.0,8,10,0,-62.0,5543.25
202.05200004577637,202.05200004577637,0.0,7,7,0,-56.99999999999999,5186.4
213.04800009727478,213.04800009727478,0.0,8,12,0,-66.0,5676.349999999999
350.3990001678467,350.3990001678467,0.0,21,57,0,-81.0,11917.2
196.1949999332428,196.1949999332428,0.0,7,0,0,-55.00000000000001,4733.5
249.5440001487732,249.5440001487732,0.0,18,7,0,-71.0,6915.599999999999
247.0460000038147,247.0460000038147,0.0,17,7,0,-66.0,6758.400000000001
173.52300000190735,173.52300000190735,0.0,1,0,0,-44.0,3868.0
273.1710000038147,273.1710000038147,0.0,21,15,0,-81.0,8112.0
212.59500002861023,212.59500002861023,0.0,8,13,0,-62.0,5742.9
227.98200011253357,227.98200011253357,0.0,15,2,0,-68.0,6046.5
235.59500002861023,235.59500002861023,0.0,14,7,0,-69.0,6286.800000000001
206.05400013923645,206.05400013923645,0.0,9,3,1,-52.0,5227.200000000001
358.34800004959106,358.34800004959106,0.0,20,61,0,-79.0,12022.500000000002
193.77100014686584,193.77100014686584,0.0,6,3,0,-56.99999999999999,4777.799999999999
183.74300003051758,183.74300003051758,0.0,3,3,0,-49.0,4328.4
169.46399998664856,169.46399998664856,0.0,0,0,0,-45.0,3723.75
343.9650001525879,343.9650001525879,0.0,20,56,0,-81.0,11578.750000000002
236.21200013160706,236.21200013160706,0.0,15,7,1,-60.0,6444.0
256.10399985313416,256.10399985313416,0.0,19,11,1,-62.0,7420.4
213.15700006484985,213.15700006484985,0.0,8,12,0,-66.0,5676.349999999999
205.9029998779297,205.9029998779297,0.0,7,11,0,-62.0,5445.2
259.66299986839294,259.66299986839294,0.0,20,8,0,-74.0,7318.75
248.12600016593933,248.12600016593933,0.0,16,12,0,-70.0,7007.950000000001
185.85399985313416,185.85399985313416,0.0,5,0,2,-42.0,4445.0
184.87400007247925,184.87400007247925,0.0,1,11,0,-51.0,4457.6
201.19000005722046,201.19000005722046,0.0,6,11,0,-60.0,5280.6
174.58100008964539,174.58100008964539,0.0,1,0,1,-43.0,3868.0
247.3420000076294,247.3420000076294,0.0,17,8,0,-70.0,6841.599999999999
337.5940001010895,337.5940001010895,0.0,19,55,0,-82.0,11244.0
211.11600017547607,211.11600017547607,0.0,8,12,2,-52.0,5676.349999999999
257.18099999427795,257.18099999427795,0.0,19,11,0,-77.0,7420.4
344.81300020217896,344.81300020217896,0.0,20,58,0,-75.0,11756.250000000002
227.2039999961853,227.2039999961853,0.0,14,3,0,-68.0,5976.200000000001
169.47500014305115,169.47500014305115,0.0,0,0,0,-45.0,3723.75
213.2369999885559,213.2369999885559,0.0,11,3,0,-62.0,5526.799999999999
197.74399995803833,197.74399995803833,0.0,8,0,0,-55.00000000000001,4877.75
259.0150001049042,259.0150001049042,0.0,20,7,0,-78.0,7230.0
180.86899995803833,180.86899995803833,0.0,3,0,0,-47.0,4156.5
219.90300011634827,219.90300011634827,0.0,14,0,1,-60.0,5743.25
201.40100002288818,201.40100002288818,0.0,6,11,0,-60.0,5280.6
265.4249999523163,265.4249999523163,0.0,20,12,0,-73.0,7673.75
250.11100006103516,250.11100006103516,0.0,18,7,0,-71.0,6915.599999999999
235.49500012397766,235.49500012397766,0.0,14,7,0,-69.0,6286.800000000001
180.2590000629425,180.2590000629425,0.0,1,7,0,-52.0,4243.200000000001
