Total Time(s),Time_o1(s),Time_o2(s),var1,var2,var3,o1,o2
310.6010000705719,310.6010000705719,0.0,13.0,66.0,1.0,-61.0,10601.8
305.2369999885559,305.2369999885559,0.0,18.0,40.0,2.0,-56.99999999999999,9722.25
215.75699996948242,215.75699996948242,0.0,4.0,36.0,2.0,-42.0,6430.15
342.1559998989105,342.1559998989105,0.0,11.0,108.0,1.0,-49.0,13097.300000000001
262.0440001487732,262.04299998283386,0.0,12.0,36.0,2.0,-49.0,8116.950000000001
256.4069998264313,256.4069998264313,0.0,24.0,2.0,1.0,-60.0,7378.050000000001
353.3110001087189,353.3110001087189,0.0,17.0,71.0,1.0,-56.00000000000001,12083.200000000003
247.12600016593933,247.12600016593933,0.0,17.0,11.0,2.0,-48.0,7091.200000000001
256.4830000400543,256.4830000400543,0.0,12.0,34.0,0.0,-73.0,7969.050000000001
205.2889997959137,205.2889997959137,0.0,8.0,9.0,2.0,-53.0,5476.7
193.0369999408722,193.0369999408722,0.0,5.0,11.0,1.0,-49.0,5116.0
225.35399985313416,225.35399985313416,0.0,7.0,29.0,1.0,-56.99999999999999,6609.800000000001
197.32599997520447,197.32599997520447,0.0,0.0,37.0,2.0,-49.0,5638.5
368.5840001106262,368.5840001106262,0.0,13.0,110.0,1.0,-52.0,13937.0
257.75400018692017,257.75400018692017,0.0,12.0,35.0,1.0,-60.0,8043.0
256.60399985313416,256.60399985313416,0.0,25.0,0.0,1.0,-60.0,7330.0
359.4279999732971,359.4279999732971,0.0,17.0,75.0,1.0,-53.0,12416.0
242.65100002288818,242.65100002288818,0.0,21.0,0.0,2.0,-53.0,6753.0
256.28700017929077,256.28700017929077,0.0,12.0,34.0,0.0,-73.0,7969.050000000001
242.375,242.375,0.0,11.0,27.0,1.0,-61.0,7257.2
209.5829999446869,209.5829999446869,0.0,6.0,18.0,1.0,-55.00000000000001,5720.550000000001
230.8470001220703,230.8470001220703,0.0,9.0,27.0,1.0,-53.0,6868.799999999999
262.9340000152588,262.9340000152588,0.0,13.0,33.0,1.0,-61.0,8100.4000000000015
217.9079999923706,217.9079999923706,0.0,1.0,55.0,1.0,-53.0,6816.0
321.78200006484985,321.78200006484985,0.0,17.0,53.0,1.0,-56.99999999999999,10585.600000000002
