Total Time(s);Time_o1(s);Time_o2(s);var1;var2;var3;var4;o1;o2
22,64499998;22,58799982;0,006999969;1;8;12;1;0,009179074;17227,18974
0,164000034;0,164000034;0;6;8;3;12;0,001918052;11954,05864
0,125;0,123999834;0;1;8;3;0;0,002559071;4414,989609
0,106999874;0,106999874;0;6;0;3;13;0,00376806;8318,557927
0,116000175;0,116000175;0;6;8;3;6;0,002083061;11831,70787
0,112999916;0,112999916;0;1;8;3;14;0,00212307;4507,825452
0,119999886;0,119999886;0;1;0;3;30;0,003686063;3273,097704
0,142000198;0,142000198;0;6;0;3;17;0,003593056;8394,842553
0,160000086;0,159000158;0;6;0;3;3;0,004406083;8186,251036
0,131999969;0,131999969;0;1;0;3;0;0,005226099;3065,965006
15,31999993;15,31999993;0;2;8;12;5;0,007815086;36950,55768
0,150000095;0,150000095;0;6;0;3;22;0,003423052;8506,255823
0,730000019;0,730000019;0;1;8;6;0;0,004961016;8507,797765
1,179999828;1,179999828;0;1;8;7;11;0,004669063;10583,46784
0,138999939;0,138000011;0;4;8;3;9;0,001891052;7277,893059
0,142999887;0,142999887;0;3;8;3;8;0,001968057;6297,001815
0,177999973;0,177999973;0;1;0;3;7;0,004652097;3089,852344
0,144999981;0,144999981;0;6;8;3;0;0,002274057;11757,30929
1,165999889;1,164999962;0;1;0;7;0;0,011436016;6879,79604
0,141000032;0,141000032;0;4;8;3;14;0,00177205;7349,715411
0,131999969;0,131999969;0;1;4;3;27;0,002630067;3922,739397
0,132999897;0,132999897;0;1;3;3;29;0,002830065;3770,241935
0,138999939;0,138999939;0;1;8;3;5;0,002386076;4436,968122
16,52499986;16,52499986;0;6;8;12;21;0,00647111;61657,98045
18,4289999;18,42799997;0;6;0;12;7;0,01414909;34392,0701
0,188999891;0,188999891;0;1;7;3;22;0,002129069;4409,972853
0,188999891;0,188999891;0;6;1;3;0;0,004215075;8578,141019
4,334000111;4,334000111;0;1;4;9;0;0,010003036;10688,96563
0,710999966;0,710000038;0;6;8;6;14;0,00341006;24242,04738
0,214999914;0,214999914;0;6;4;3;9;0,002777066;9988,571284
0,200000048;0,200000048;0;6;0;3;10;0,003926065;8269,640174
13,40799999;13,40799999;0;6;2;11;0;0,01285303;31784,64765
0,200000048;0,200000048;0;6;5;3;30;0,002081046;11031,69564
0,21600008;0,21600008;0;1;6;3;9;0,002654076;4099,542817
0,189999819;0,189999819;0;1;5;3;0;0,003297081;3880,361961
0,213000059;0,213000059;0;6;5;3;5;0,002710067;10385,01476
0,721999884;0,721999884;0;1;0;6;19;0,007189116;6542,278812
0,183000088;0,183000088;0;6;8;3;16;0,001831049;12059,48786
18,96799994;18,96799994;0;1;8;12;30;0,007561124;26568,14834
0,203999996;0,203999996;0;3;0;3;19;0,003420049;4476,976512
0,812000036;0,812000036;0;1;8;6;30;0,003428169;10241,78266
0,726999998;0,726999998;0;1;0;6;8;0,008445035;6101,05496
0,305999994;0,305999994;0;6;8;4;3;0,002796032;15480,13486
0,200999975;0,200999975;0;1;5;3;24;0,002468068;4065,972715
0,717999935;0,717999935;0;1;4;6;30;0,004725192;8605,942376
0,243000031;0,243000031;0;1;0;3;4;0,004886105;3077,444169
7,610000134;7,610000134;0;1;8;10;14;0,006295077;16399,49331
0,207999945;0,207999945;0;3;1;3;26;0,002937047;4798,082993
0,202000141;0,202000141;0;6;2;3;15;0,003060059;9211,591109
1,335000038;1,335000038;0;6;0;7;18;0,007475178;20766,49815
12,42400002;12,42400002;0;1;0;11;3;0,016163033;11131,12378
7,632999897;7,632999897;0;1;0;10;4;0,01452002;10145,08672
2,513999939;2,513999939;0;3;6;8;10;0,005251116;15754,36193
0,164999962;0,164999962;0;3;0;3;13;0,003663056;4413,928696
0,190999985;0,190999985;0;3;0;3;16;0,003532055;4443,688836
0,177999973;0,177999973;0;2;0;3;15;0,003883065;6411,325387
20,30999994;20,30999994;0;6;4;12;7;0,009886092;41614,40482
0,166000128;0,166000128;0;1;8;3;18;0,002037067;4550,693567
0,41899991;0,41899991;0;1;0;5;2;0,008141018;4977,467565
17,58899999;17,58899999;0;6;3;12;30;0,009920126;56779,816
0,177000046;0,177000046;0;4;8;3;22;0,001636042;7499,392889
