hypervolume,onvg
0.9625893626,1.0
0.9646730488,2.0
0.9664667129,3.0
0.9664667129,3.0
0.972457549,4.0
0.9724577696,5.0
0.9748081987,6.0
0.974808736,7.0
0.9810144232,8.0
0.9813110993,9.0
0.9813385168,9.0
0.9814394416,10.0
0.9825684085,11.0
0.982594124,11.0
0.9825954472,12.0
0.9825960037,13.0
0.9825960037,13.0
0.9826049915,14.0
0.9826070622,15.0
0.9826085845,16.0
0.9826089345,17.0
0.9826203353,18.0
0.9858580829,19.0
0.9858580829,19.0
0.9859145321,20.0
0.9859145321,20.0
0.9859147058,21.0
0.9859598206,22.0
0.9859656644,23.0
0.9859798231,24.0
0.9859827334,25.0
0.9871768191,26.0
0.9871800942,27.0
0.9871889026,28.0
0.9871889026,28.0
0.9871889026,28.0
0.994767362,27.0
0.994771117,28.0
0.994771117,28.0
0.9947786723,29.0
0.9947786723,29.0
0.9947824891,30.0
0.9947876249,31.0
0.9947879968,32.0
0.994789051,33.0
0.9947923983,34.0
0.9947928031,35.0
0.9947928031,35.0
0.9948507502,36.0
0.9948507502,36.0
0.9948543942,36.0
0.9948645789,37.0
0.9948645789,37.0
0.9948647813,38.0
0.9948647813,38.0
0.9948647813,38.0
0.9948876946,39.0
0.9948876946,39.0
0.9948951999,38.0
0.9948951999,38.0
0.9949008894,36.0
0.9949008894,36.0
0.9949061744,37.0
0.9949061744,37.0
0.9949061744,37.0
0.9949080868,37.0
0.9949080868,37.0
0.9949091976,38.0
0.9949122794,39.0
0.9949122794,39.0
0.994922301,40.0
0.9949244251,41.0
0.9949247948,42.0
0.9949247948,42.0
0.9949254279,43.0
0.9949259925,44.0
0.9949273224,43.0
0.9949824879,44.0
0.9949825994,45.0
0.9949825994,45.0
0.9949872266,45.0
0.9949908705,46.0
0.9949933969,46.0
0.9949933969,46.0
0.9949955011,46.0
0.9949972045,47.0
0.9950074396,47.0
0.9950088297,48.0
0.9950100186,49.0
0.9950130409,50.0
0.995013215,51.0
0.9950138012,52.0
0.9950151254,53.0
0.995015971,54.0
0.9950162011,55.0
0.9950164491,56.0
0.9950164491,56.0
0.9950164491,56.0
0.995021385,57.0
0.9950251366,58.0
0.995025164,59.0
0.9950252767,60.0
0.9950254001,61.0
0.9950255025,62.0
0.9950255025,62.0
0.9953246238,63.0
0.9953250301,64.0
0.9953274807,65.0
0.9953284309,66.0
0.9953284309,66.0
0.9953286217,67.0
0.9953286217,67.0
0.9953286217,67.0
0.9953293124,68.0
0.9953298696,69.0
0.9953298696,69.0
0.9953298696,69.0
0.9953298696,69.0
0.9953301154,70.0
0.9953330478,67.0
0.9953330478,67.0
0.9953330478,67.0
0.9953331858,68.0
0.9953331858,68.0
0.9953331858,68.0
0.9953359294,69.0
0.9953364036,70.0
0.9953364036,70.0
0.9953365337,71.0
0.9953367231,72.0
0.9953367231,72.0
0.9953368486,73.0
0.9953384172,73.0
0.9953387664,74.0
0.9953391408,75.0
0.9953391408,75.0
0.9953391408,75.0
0.9953391408,75.0
0.9953394639,76.0
0.9953394639,76.0
0.9953394639,76.0
0.9953396439,77.0
0.9953396439,77.0
0.9953396439,77.0
0.9953396439,77.0
0.9953397569,78.0
0.9953397569,78.0
0.9953399817,79.0
0.9953408655,80.0
0.9953408655,80.0
0.9953416115,81.0
0.9953416115,81.0
0.9953416115,81.0
0.9953416115,81.0
0.9953420605,82.0
0.9953420605,82.0
0.9953420605,82.0
0.9953456071,80.0
0.9953456071,80.0
0.9953457351,81.0
0.9953457351,81.0
0.9953457351,81.0
0.9953461382,82.0
0.9953461382,82.0
0.9953461382,82.0
0.9953473057,83.0
0.9953473057,83.0
0.9953473057,83.0
0.9953482355,84.0
0.9953484374,85.0
0.995349812,86.0
0.995349812,86.0
0.9953500586,87.0
0.9953503083,88.0
0.9953504482,89.0
0.9953504482,89.0
0.9953504482,89.0
0.9953504482,89.0
0.9953507165,90.0
0.9953507165,90.0
0.9953507165,90.0
0.9953508556,91.0
0.9953542546,91.0
0.9959057521,92.0
0.9959102895,89.0
0.9959105955,90.0
0.9959107159,91.0
0.9959108972,92.0
0.9959108972,92.0
0.9959108972,92.0
0.9959108972,92.0
0.9959108972,92.0
0.9960158295,93.0
0.996016262,94.0
0.996016262,94.0
0.9960165424,95.0
0.9960165424,95.0
0.996016805,96.0
0.996016968,97.0
0.996016968,97.0
0.9960185722,98.0
0.9960186824,99.0
0.9960186824,99.0
0.9960186824,99.0
0.9960186824,99.0
0.9960186824,99.0
0.9960186824,99.0
