hypervolume,onvg
0.4816057423,1.0
0.8898944716,1.0
0.9623513968,2.0
0.9623513968,2.0
0.9623854172,3.0
0.9642507084,4.0
0.974473537,5.0
0.974473537,5.0
0.974473537,5.0
0.9761415638,6.0
0.9761415638,6.0
0.9761415638,6.0
0.9761415638,6.0
0.9761415638,6.0
0.9781780635,5.0
0.9782668825,6.0
0.9783283243,7.0
0.9783283243,7.0
0.9783283243,7.0
0.9848434943,8.0
0.9851471392,9.0
0.9852233915,10.0
0.9852305519,11.0
0.9852305519,11.0
0.9852305519,11.0
0.9852481784,10.0
0.9852481784,10.0
0.9852481784,10.0
0.9852481784,10.0
0.9852481784,10.0
0.9852481784,10.0
0.9852481784,10.0
0.9852481784,10.0
0.9852481784,10.0
0.9852481784,10.0
0.9852481784,10.0
0.9852481784,10.0
0.9852481784,10.0
0.9852481784,10.0
0.9852481784,10.0
0.9852481784,10.0
0.9852481784,10.0
0.9852481784,10.0
0.9852807312,11.0
0.9852807312,11.0
0.9852831955,12.0
0.9852831955,12.0
0.9852831955,12.0
0.9852831955,12.0
0.9852831955,12.0
0.9852831955,12.0
0.9852831955,12.0
0.9852831955,12.0
0.9852831955,12.0
0.9852831955,12.0
0.9852831955,12.0
0.9852831955,12.0
0.9853709267,13.0
0.9853709267,13.0
0.9853709267,13.0
0.9928052846,14.0
0.9928052846,14.0
0.9928052846,14.0
0.9951411158,15.0
0.9951411158,15.0
0.9951411158,15.0
0.9951411158,15.0
0.9951411158,15.0
0.9951411158,15.0
0.9951411158,15.0
0.9951662517,16.0
0.9951662517,16.0
0.9951662517,16.0
0.9952098582,17.0
0.9952098582,17.0
0.9952098582,17.0
0.9952098582,17.0
0.9952098582,17.0
0.9952098582,17.0
0.9952098582,17.0
0.9952098582,17.0
0.9952098582,17.0
0.9952098582,17.0
0.9952098582,17.0
0.9953206986,16.0
0.9953280538,17.0
0.9953331473,18.0
0.9953331473,18.0
0.9953331473,18.0
0.9953331473,18.0
0.9953331473,18.0
0.9953331473,18.0
0.9953331473,18.0
0.9954993334,18.0
0.9954993334,18.0
0.9954993334,18.0
0.9954993334,18.0
0.9954993334,18.0
0.9954993334,18.0
0.9954993334,18.0
0.9954993334,18.0
0.9954993334,18.0
0.9954993334,18.0
0.9954993334,18.0
0.9954993334,18.0
0.9954993334,18.0
0.9954993334,18.0
0.9954993334,18.0
0.9954993334,18.0
0.9954993334,18.0
0.9954993334,18.0
0.9954993334,18.0
0.9954993334,18.0
0.9954993334,18.0
0.9954993334,18.0
0.9955197821,19.0
0.9955197821,19.0
0.9955197821,19.0
0.9955197821,19.0
0.9955197821,19.0
0.9955197821,19.0
0.9955197821,19.0
0.9955197821,19.0
0.9955197821,19.0
0.9955197821,19.0
0.9955197821,19.0
0.9955197821,19.0
0.9955197821,19.0
0.9955197821,19.0
0.9955197821,19.0
0.9955197821,19.0
0.9955197821,19.0
0.9955370297,20.0
0.9955370297,20.0
0.9955370297,20.0
0.9955370297,20.0
0.9955370297,20.0
0.9955370297,20.0
0.9955370297,20.0
0.9955370297,20.0
0.9955370297,20.0
0.9955370297,20.0
0.9955370297,20.0
0.9955370297,20.0
0.9955370297,20.0
0.9955500184,21.0
0.9955500184,21.0
0.995782254,22.0
0.995782254,22.0
0.995782254,22.0
0.9957851736,23.0
0.9957851736,23.0
0.9957851736,23.0
0.9957851736,23.0
0.9957851736,23.0
0.9957851736,23.0
0.9957851736,23.0
0.9957851736,23.0
0.9957851736,23.0
0.9957851736,23.0
0.9957851736,23.0
0.9957851736,23.0
0.9957940248,24.0
0.9957940248,24.0
0.9957940248,24.0
0.9957940248,24.0
0.9957940248,24.0
0.9957940248,24.0
0.9957940248,24.0
0.9957940248,24.0
0.9957940248,24.0
0.9957940248,24.0
0.9957946684,25.0
0.9957946684,25.0
0.9957975049,26.0
0.9957975049,26.0
0.9957975049,26.0
0.9957975049,26.0
0.9957975049,26.0
0.9957975049,26.0
0.9957975049,26.0
