hypervolume,onvg
0.4714180646,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.921363056,2.0
0.921363056,2.0
0.921363056,2.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9543485783,3.0
0.954530035,4.0
0.954530035,4.0
0.954530035,4.0
0.954530035,4.0
0.954530035,4.0
0.954530035,4.0
0.954530035,4.0
0.954530035,4.0
0.954530035,4.0
0.954530035,4.0
0.954530035,4.0
0.954530035,4.0
0.954530035,4.0
0.954530035,4.0
0.954530035,4.0
0.954530035,4.0
0.954530035,4.0
0.954530035,4.0
0.954530035,4.0
0.9733527531,5.0
0.9733527531,5.0
0.9733527531,5.0
0.9733527531,5.0
0.9733527531,5.0
0.9733527531,5.0
0.9733527531,5.0
0.9733527531,5.0
0.9733527531,5.0
0.9733527531,5.0
0.9733527531,5.0
0.9733527531,5.0
0.9733527531,5.0
0.9733527531,5.0
0.9733527531,5.0
0.9733527531,5.0
0.9733527531,5.0
0.9733527531,5.0
0.9733527531,5.0
0.9733527531,5.0
0.9733527531,5.0
0.9737484858,6.0
0.9737484858,6.0
0.9737484858,6.0
0.9737484858,6.0
0.9737484858,6.0
0.9737484858,6.0
0.9747562163,6.0
0.9747562163,6.0
0.9748254806,7.0
0.9748254806,7.0
0.976445618,7.0
0.976445618,7.0
0.976445618,7.0
0.976445618,7.0
0.976445618,7.0
0.976445618,7.0
0.976445618,7.0
0.976445618,7.0
0.9765840775,8.0
0.9765840775,8.0
0.9765840775,8.0
0.9765916798,9.0
0.9765916798,9.0
0.9765916798,9.0
0.9765916798,9.0
0.9765916798,9.0
0.9765916798,9.0
0.9765916798,9.0
0.9765916798,9.0
0.9765916798,9.0
0.9765916798,9.0
0.9765916798,9.0
0.9765916798,9.0
0.9765916798,9.0
0.9766548164,10.0
0.9766548164,10.0
0.9766548164,10.0
0.9771254794,11.0
0.9771254794,11.0
0.9771254794,11.0
0.9771254794,11.0
0.9771254794,11.0
0.9771254794,11.0
0.9772104596,11.0
0.9772104596,11.0
0.9772104596,11.0
0.9772104596,11.0
0.9772104596,11.0
0.9772104596,11.0
0.9772104596,11.0
0.9772104596,11.0
0.9772104596,11.0
0.9772104596,11.0
0.9772104596,11.0
0.9772104596,11.0
0.9772104596,11.0
0.9772694961,12.0
0.9772694961,12.0
0.9772694961,12.0
0.9772694961,12.0
0.9772694961,12.0
0.9772694961,12.0
0.9772760022,12.0
0.9772760022,12.0
0.9772760022,12.0
0.9773518433,13.0
0.9773525668,14.0
0.9773525668,14.0
0.9773604479,15.0
0.9773604479,15.0
0.9773604479,15.0
0.9774052759,15.0
0.9774052759,15.0
0.9774052759,15.0
0.9774077908,16.0
0.9774077908,16.0
0.9774436269,17.0
0.9774436269,17.0
0.9774436269,17.0
0.9774436269,17.0
0.9774436269,17.0
0.9774436269,17.0
0.9774436269,17.0
0.9774436269,17.0
0.9774436269,17.0
0.9774436269,17.0
0.9774436269,17.0
0.9774436269,17.0
0.9774436269,17.0
0.9774436269,17.0
0.9774436269,17.0
0.9774436269,17.0
0.9774436269,17.0
0.9774436269,17.0
0.9774436269,17.0
0.9774436269,17.0
0.9774436269,17.0
0.9774436269,17.0
0.9774436269,17.0
0.9774436269,17.0
0.9774436269,17.0
0.9774436269,17.0
0.9774436269,17.0
0.9774436269,17.0
0.9774436269,17.0
0.9774436269,17.0
0.9774436269,17.0
0.9774436269,17.0
0.9774436269,17.0
0.9774436269,17.0
0.9774436269,17.0
0.9774436269,17.0
0.9774447043,18.0
0.9774825356,18.0
0.9775121555,18.0
0.9779406032,16.0
0.9779406032,16.0
0.9779406032,16.0
0.9779737499,17.0
0.9779762293,18.0
0.9779762293,18.0
0.9779762293,18.0
0.9779762293,18.0
0.9779762293,18.0
0.9779762293,18.0
0.9779762293,18.0
0.9779762293,18.0
0.9779762293,18.0
0.9779762293,18.0
0.9779762293,18.0
0.9779762293,18.0
0.9779762293,18.0
0.9779762293,18.0
0.9779762293,18.0
0.9779762293,18.0
0.9779762293,18.0
0.9779762293,18.0
0.9779977034,19.0
0.9779977034,19.0
0.9779977034,19.0
0.977997803,20.0
0.977997803,20.0
0.977997803,20.0
0.977997803,20.0
0.977997803,20.0
0.977997803,20.0
0.977997803,20.0
0.977997803,20.0
0.977997803,20.0
0.977997803,20.0
0.9779984097,21.0
0.9779984097,21.0
0.9780078097,21.0
0.9780078097,21.0
0.9780078097,21.0
0.9780078097,21.0
0.9780078097,21.0
0.9780078097,21.0
0.9780078097,21.0
0.9780078097,21.0
0.9780078097,21.0
0.9780078097,21.0
0.9780078097,21.0
0.9780078097,21.0
0.9780078097,21.0
0.9780078097,21.0
0.9780078097,21.0
0.9780078097,21.0
0.9780078097,21.0
0.978009296,22.0
0.978009296,22.0
0.978009296,22.0
0.978009296,22.0
0.978009296,22.0
0.978009296,22.0
0.978009296,22.0
0.978009658,23.0
0.978009658,23.0
0.978009658,23.0
0.978009658,23.0
0.978009658,23.0
0.978009658,23.0
0.9780108716,24.0
0.9780108716,24.0
0.9780108716,24.0
0.9780108716,24.0
0.9780108716,24.0
0.9780108716,24.0
0.9780108716,24.0
0.9780294856,25.0
0.9780294856,25.0
0.9780294856,25.0
0.9780294856,25.0
0.9780294856,25.0
0.9780294856,25.0
0.9780294856,25.0
0.9780294856,25.0
0.9780294856,25.0
0.9780294856,25.0
