hypervolume,onvg
0.4714180646,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.921363056,2.0
0.921363056,2.0
0.921363056,2.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532255441,4.0
0.9532255441,4.0
0.9532255441,4.0
0.9533410061,5.0
0.9533410061,5.0
0.9533410061,5.0
0.9533410061,5.0
0.9533410061,5.0
0.9533410061,5.0
0.9533410061,5.0
0.9533410061,5.0
0.9533410061,5.0
0.9533410061,5.0
0.9545645983,3.0
0.9545645983,3.0
0.9545645983,3.0
0.9545645983,3.0
0.9545645983,3.0
0.9575896205,4.0
0.9575896205,4.0
0.9575896205,4.0
0.9575896205,4.0
0.9575896205,4.0
0.9575896205,4.0
0.9575896205,4.0
0.9575896205,4.0
0.9575896205,4.0
0.9575896205,4.0
0.9575896205,4.0
0.9575896205,4.0
0.9575896205,4.0
0.9575896205,4.0
0.9575896205,4.0
0.9575896205,4.0
0.9580871133,5.0
0.958503358,5.0
0.958503358,5.0
0.958503358,5.0
0.958503358,5.0
0.9721664553,5.0
0.9721664553,5.0
0.9721664553,5.0
0.9721664553,5.0
0.9721664553,5.0
0.9744809331,6.0
0.9744809331,6.0
0.9744809331,6.0
0.9744809331,6.0
0.9744809331,6.0
0.9750305798,6.0
0.9750305798,6.0
0.9750305798,6.0
0.9750305798,6.0
0.9750305798,6.0
0.9750305798,6.0
0.9750305798,6.0
0.9750305798,6.0
0.9750305798,6.0
0.9750305798,6.0
0.9750305798,6.0
0.9750305798,6.0
0.9750305798,6.0
0.9750305798,6.0
0.9750305798,6.0
0.9750569499,6.0
0.9750569499,6.0
0.9750569499,6.0
0.9750581924,7.0
0.9750581924,7.0
0.9764740293,7.0
0.9764740293,7.0
0.9764740293,7.0
0.9764740293,7.0
0.9764740293,7.0
0.9764740293,7.0
0.9764932469,8.0
0.9764932469,8.0
0.9764932469,8.0
0.9764932469,8.0
0.9764932469,8.0
0.9764932469,8.0
0.9764932469,8.0
0.9764932469,8.0
0.9764932469,8.0
0.9764932469,8.0
0.9764932469,8.0
0.9774491815,8.0
0.9774491815,8.0
0.9774491815,8.0
0.9780374012,6.0
0.9780374012,6.0
0.9780836625,7.0
0.9780836625,7.0
0.9780836625,7.0
0.9780836625,7.0
0.978653838,7.0
0.9791899992,8.0
0.979215307,9.0
0.979215307,9.0
0.979215307,9.0
0.979215307,9.0
0.979215307,9.0
0.979215307,9.0
0.979215307,9.0
0.9802451146,10.0
0.9802451146,10.0
0.9802451146,10.0
0.9802451146,10.0
0.9802451146,10.0
0.9802673861,11.0
0.9870678648,11.0
0.9870678648,11.0
0.9870678648,11.0
0.9870678648,11.0
0.9870678648,11.0
0.9870678648,11.0
0.9870693212,12.0
0.9870693212,12.0
0.9870693212,12.0
0.9870706991,13.0
0.9870706991,13.0
0.9870706991,13.0
0.9870706991,13.0
0.9870706991,13.0
0.9904072494,14.0
0.9904072494,14.0
0.9904072494,14.0
0.9904072494,14.0
0.9904262818,15.0
0.9904262818,15.0
0.9904503228,16.0
0.9904503228,16.0
0.9904503228,16.0
0.9904503228,16.0
0.9904503228,16.0
0.990470159,17.0
0.990470159,17.0
0.990470159,17.0
0.990470159,17.0
0.990470159,17.0
0.9904714228,18.0
0.9904714228,18.0
0.9904714228,18.0
0.9904746679,19.0
0.990478068,20.0
0.990478068,20.0
0.9904796332,21.0
0.9904796332,21.0
0.9904796332,21.0
0.9904796332,21.0
0.9904888361,22.0
0.9904888361,22.0
0.9904888361,22.0
0.9904888361,22.0
0.9904888361,22.0
0.9904888361,22.0
0.9904895375,23.0
0.9904912329,24.0
0.9904929766,25.0
0.9904929766,25.0
0.9904929766,25.0
0.9905044911,26.0
0.9905044911,26.0
0.9905044911,26.0
0.9905044911,26.0
0.9905114198,27.0
0.9905114198,27.0
0.9905874572,28.0
0.9905874572,28.0
0.9905974121,28.0
0.9905974121,28.0
0.9905988206,29.0
0.9905988206,29.0
0.9905988206,29.0
0.9906027799,30.0
0.9906027799,30.0
0.9906034578,31.0
0.9906034578,31.0
0.9906034578,31.0
0.9906034578,31.0
0.9906034578,31.0
0.9906034578,31.0
0.9906037072,32.0
0.9906037072,32.0
0.9906037072,32.0
0.9906051151,33.0
0.9906063375,34.0
0.9906063375,34.0
0.9906063375,34.0
0.9906063375,34.0
0.9906073078,35.0
0.9906073078,35.0
0.9906073078,35.0
0.9906073078,35.0
0.9906091337,36.0
0.9906091337,36.0
0.9906091337,36.0
0.9906091337,36.0
0.9906091337,36.0
0.9906098994,37.0
0.9906098994,37.0
0.9906098994,37.0
0.9906098994,37.0
0.9906098994,37.0
0.9906098994,37.0
0.9906102226,38.0
0.9906102226,38.0
0.9906102226,38.0
0.9906102226,38.0
0.9906102226,38.0
0.9906102226,38.0
0.9906121992,39.0
0.9906121992,39.0
0.9906121992,39.0
0.990613935,40.0
0.990613935,40.0
0.990613935,40.0
0.990613935,40.0
0.990613935,40.0
0.9906142413,41.0
0.9906142413,41.0
0.9906142413,41.0
0.9906142413,41.0
0.9906145177,42.0
0.9906145177,42.0
0.9906145177,42.0
0.9906145177,42.0
0.9906145177,42.0
0.9906145177,42.0
0.9906145177,42.0
0.9906155296,43.0
0.9906155296,43.0
0.9906184924,44.0
0.9906184924,44.0
0.9906184924,44.0
0.9906184924,44.0
0.9906184924,44.0
0.9906186484,45.0
0.9906186484,45.0
0.9937880332,46.0
0.9937880332,46.0
0.9937994692,46.0
0.9938140834,47.0
0.9938142566,48.0
0.9938142566,48.0
0.9938142566,48.0
0.9938142566,48.0
0.9938142566,48.0
