hypervolume,onvg
0.4714180646,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.921363056,2.0
0.921363056,2.0
0.921363056,2.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9535250694,4.0
0.9535250694,4.0
0.9535250694,4.0
0.9539209261,5.0
0.9539209261,5.0
0.9585096407,5.0
0.9585096407,5.0
0.9585096407,5.0
0.96980837,2.0
0.96980837,2.0
0.96980837,2.0
0.96980837,2.0
0.96980837,2.0
0.96980837,2.0
0.96980837,2.0
0.96980837,2.0
0.96980837,2.0
0.96980837,2.0
0.9698727227,3.0
0.9791805729,4.0
0.9791805729,4.0
0.9791805729,4.0
0.9791805729,4.0
0.9791805729,4.0
0.9791805729,4.0
0.9792177786,5.0
0.979232037,6.0
0.979232037,6.0
0.979232037,6.0
0.979232037,6.0
0.979232037,6.0
0.979232037,6.0
0.9792331041,7.0
0.9792331041,7.0
0.9792331041,7.0
0.979332861,7.0
0.979332861,7.0
0.979332861,7.0
0.979332861,7.0
0.9793395404,8.0
0.979369022,9.0
0.979369022,9.0
0.979617226,9.0
0.979617226,9.0
0.9799940527,6.0
0.9799974418,7.0
0.9799974418,7.0
0.979997601,8.0
0.979997601,8.0
0.979997601,8.0
0.9810301778,9.0
0.9810301778,9.0
0.9810301778,9.0
0.981730278,10.0
0.981730278,10.0
0.981730278,10.0
0.981730278,10.0
0.981730278,10.0
0.981730278,10.0
0.9818357344,11.0
0.9818357344,11.0
0.9818357344,11.0
0.9818357344,11.0
0.9818357344,11.0
0.9818357344,11.0
0.9818357344,11.0
0.9818357344,11.0
0.9818357344,11.0
0.9822190897,9.0
0.9822190897,9.0
0.9822190897,9.0
0.9822192611,10.0
0.9822192611,10.0
0.9822192611,10.0
0.9822192611,10.0
0.9822192611,10.0
0.9822192611,10.0
0.9822192611,10.0
0.9822192611,10.0
0.9822192611,10.0
0.9822192611,10.0
0.9822192611,10.0
0.9822192611,10.0
0.9822192611,10.0
0.9822192611,10.0
0.9822192611,10.0
0.9822192611,10.0
0.9822192611,10.0
0.9822192611,10.0
0.9822192611,10.0
0.9822192611,10.0
0.9822192611,10.0
0.9822286197,11.0
0.9822286197,11.0
0.9822286197,11.0
0.9822286197,11.0
0.9822286197,11.0
0.9822286197,11.0
0.9822286197,11.0
0.9822286197,11.0
0.9822286197,11.0
0.9822286197,11.0
0.9822286197,11.0
0.9822286197,11.0
0.9822286197,11.0
0.9822286197,11.0
0.9822286197,11.0
0.9822286197,11.0
0.9822286197,11.0
0.9822286197,11.0
0.9822287006,12.0
0.9822287006,12.0
0.9822287006,12.0
0.9822287006,12.0
0.9822287006,12.0
0.9822287006,12.0
0.9822287006,12.0
0.9822287006,12.0
0.9822287006,12.0
0.9822287006,12.0
0.9822287006,12.0
0.9822287006,12.0
0.9822287006,12.0
0.9822287006,12.0
0.9822287006,12.0
0.9822287006,12.0
0.9822287006,12.0
0.9822287006,12.0
0.9822287006,12.0
0.9822287006,12.0
0.9854653541,13.0
0.9854653541,13.0
0.9854653541,13.0
0.9854653541,13.0
0.9854653541,13.0
0.9854653541,13.0
0.9854653541,13.0
0.9854653541,13.0
0.9854653541,13.0
0.9854653541,13.0
0.9854653541,13.0
0.9854653541,13.0
0.9854653541,13.0
0.9905690167,11.0
0.9905690167,11.0
0.9905690167,11.0
0.9905690167,11.0
0.9905690167,11.0
0.9905690167,11.0
0.9905690167,11.0
0.9905690167,11.0
0.9905690167,11.0
0.9905690167,11.0
0.9905690167,11.0
0.9905690167,11.0
0.9905690167,11.0
0.9905690167,11.0
0.9905690167,11.0
0.9905690167,11.0
0.9905690167,11.0
0.9905690167,11.0
0.9905690167,11.0
0.9905690167,11.0
0.9905690167,11.0
0.9905690167,11.0
0.9905690167,11.0
0.9905690167,11.0
0.9905690167,11.0
0.9905690167,11.0
0.9905690167,11.0
0.9905690167,11.0
0.9905690167,11.0
0.9905690167,11.0
0.9905690167,11.0
0.9905690167,11.0
0.9905690167,11.0
0.9905690167,11.0
0.9906023429,11.0
0.9906023429,11.0
0.9906023429,11.0
0.9906023429,11.0
0.9906023429,11.0
0.9906023429,11.0
0.9906023429,11.0
0.9906023429,11.0
0.9906023429,11.0
0.9906023429,11.0
0.9906023429,11.0
0.9906023429,11.0
0.9906023429,11.0
0.9906023429,11.0
0.9906023429,11.0
0.9906023429,11.0
0.9906023429,11.0
0.9906023429,11.0
0.9906023429,11.0
0.9906023429,11.0
0.9906023429,11.0
0.9906189485,12.0
0.9906189485,12.0
0.9906189485,12.0
0.9906189485,12.0
0.9906189485,12.0
0.9906189485,12.0
0.9906189485,12.0
0.9906189485,12.0
0.9906189485,12.0
0.9906189485,12.0
0.9906189485,12.0
0.9906189485,12.0
0.9906189485,12.0
0.9906189485,12.0
0.9906189485,12.0
0.9906189485,12.0
0.9906235255,13.0
0.9906235255,13.0
0.9906235255,13.0
0.9906235255,13.0
0.9906235255,13.0
0.9906235255,13.0
0.9906235255,13.0
0.9906279797,14.0
0.9906279797,14.0
0.9906279797,14.0
0.9906279797,14.0
0.9906279797,14.0
0.9906279797,14.0
0.9906279797,14.0
0.9906279797,14.0
0.9906279797,14.0
0.9906279797,14.0
0.9906279797,14.0
0.9906279797,14.0
0.9906279797,14.0
0.9906279797,14.0
0.9906279797,14.0
0.9906279797,14.0
0.9906392422,15.0
0.9906392422,15.0
0.9906392422,15.0
0.9906392422,15.0
0.9906392422,15.0
0.9906392422,15.0
0.9906392422,15.0
0.9906392422,15.0
0.9906404133,16.0
0.9906420327,17.0
0.9906420327,17.0
