hypervolume,onvg
0.4714180646,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.921363056,2.0
0.921363056,2.0
0.921363056,2.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532656505,4.0
0.9681697942,4.0
0.9681697942,4.0
0.9693766929,5.0
0.9697114962,6.0
0.9697114962,6.0
0.9697114962,6.0
0.9697114962,6.0
0.9697114962,6.0
0.9697114962,6.0
0.9697114962,6.0
0.9697303356,7.0
0.9697378896,8.0
0.9697378896,8.0
0.9697378896,8.0
0.9697392042,9.0
0.9697392042,9.0
0.9697392042,9.0
0.9697392042,9.0
0.9711887739,4.0
0.9711887739,4.0
0.9711887739,4.0
0.9711887739,4.0
0.9711887739,4.0
0.9711887739,4.0
0.9712049171,5.0
0.9712049171,5.0
0.9718448674,5.0
0.9718448674,5.0
0.9724337898,6.0
0.9724337898,6.0
0.9724337898,6.0
0.9724337898,6.0
0.9724337898,6.0
0.9724337898,6.0
0.9724337898,6.0
0.9724337898,6.0
0.9724337898,6.0
0.9724382324,7.0
0.9724382324,7.0
0.9725240601,8.0
0.9725240601,8.0
0.9725529884,9.0
0.9725529884,9.0
0.9725946312,10.0
0.9725946312,10.0
0.9725946312,10.0
0.9725946312,10.0
0.9725946312,10.0
0.9725946312,10.0
0.9725946312,10.0
0.9725946312,10.0
0.9725946312,10.0
0.9725946312,10.0
0.9726013978,11.0
0.9726013978,11.0
0.9727623379,12.0
0.9727623379,12.0
0.9727628541,13.0
0.9727628541,13.0
0.9727628541,13.0
0.9727628541,13.0
0.9727672295,14.0
0.9732897702,14.0
0.9734765604,15.0
0.9734765604,15.0
0.9734765604,15.0
0.9734765604,15.0
0.9734765604,15.0
0.9734765604,15.0
0.9734765604,15.0
0.9833765985,13.0
0.9835347948,13.0
0.9850224591,12.0
0.9850224591,12.0
0.9850224591,12.0
0.9850224591,12.0
0.9850224591,12.0
0.9850224591,12.0
0.9850224591,12.0
0.9850224591,12.0
0.9850355615,13.0
0.9850355615,13.0
0.9850355615,13.0
0.9850643114,13.0
0.9850647006,14.0
0.9850647006,14.0
0.9850647006,14.0
0.9850647006,14.0
0.9850647006,14.0
0.9880774504,15.0
0.9880774504,15.0
0.9880774504,15.0
0.9880800222,16.0
0.9880800222,16.0
0.9880800222,16.0
0.9880800222,16.0
0.9880800222,16.0
0.9880800222,16.0
0.9880800222,16.0
0.9881043368,17.0
0.9881043368,17.0
0.9881043368,17.0
0.9881043368,17.0
0.9881050304,18.0
0.9881050304,18.0
0.9881050304,18.0
0.9881050304,18.0
0.9881050304,18.0
0.9881050304,18.0
0.988132497,19.0
0.9881349887,20.0
0.9881379939,21.0
0.9881401399,22.0
0.9881401399,22.0
0.9881401399,22.0
0.9881401399,22.0
0.9881402113,23.0
0.9881402113,23.0
0.9881402113,23.0
0.9881402113,23.0
0.9881402113,23.0
0.9881498003,24.0
0.9881615406,25.0
0.9881615406,25.0
0.9881615406,25.0
0.9881721367,25.0
0.9881721367,25.0
0.9881721367,25.0
0.9881721367,25.0
0.9881721367,25.0
0.9881721367,25.0
0.9881721367,25.0
0.9881721367,25.0
0.9881721367,25.0
0.9881721367,25.0
0.9892340019,26.0
0.9892562313,27.0
0.9892601063,28.0
0.9892601063,28.0
0.9892601063,28.0
0.9892601063,28.0
0.9892601063,28.0
0.9892601063,28.0
0.9892654287,29.0
0.9892743667,30.0
0.9892743667,30.0
0.9892743667,30.0
0.9892743667,30.0
0.9939711658,30.0
0.9939711658,30.0
0.9939711658,30.0
0.9939711658,30.0
0.9939711658,30.0
0.9939711658,30.0
0.9939711658,30.0
0.9939711658,30.0
0.9939711658,30.0
0.9939711658,30.0
0.9939711658,30.0
0.99397244,31.0
0.99397244,31.0
0.99397244,31.0
0.99397244,31.0
0.99397244,31.0
0.99397244,31.0
0.99397244,31.0
0.99397244,31.0
0.9941108995,32.0
0.9941108995,32.0
0.9941108995,32.0
0.9941108995,32.0
0.9941108995,32.0
0.9941108995,32.0
0.9941108995,32.0
0.9941108995,32.0
0.9941108995,32.0
0.9941199908,32.0
0.9941199908,32.0
0.9941199908,32.0
0.9941199908,32.0
0.9941199908,32.0
0.9941199908,32.0
0.9941199908,32.0
0.9941199908,32.0
0.9941199908,32.0
0.9941204409,33.0
0.9941207278,34.0
0.9941207278,34.0
0.9941207278,34.0
0.9941207278,34.0
0.9941207278,34.0
0.9941247515,35.0
0.9941247515,35.0
0.9941247515,35.0
0.9941247515,35.0
0.9941247515,35.0
0.9941247515,35.0
0.9941247515,35.0
0.9941247515,35.0
0.9941247515,35.0
0.9941247515,35.0
0.9941247515,35.0
0.9941247515,35.0
0.9941247515,35.0
0.9941247515,35.0
0.9941247515,35.0
0.9941420736,36.0
0.9941420736,36.0
0.9941420736,36.0
0.9941420736,36.0
0.9941420736,36.0
0.9941420736,36.0
0.9941420736,36.0
0.9941420736,36.0
0.9941429061,37.0
0.9941429061,37.0
0.9941441122,37.0
0.9941441122,37.0
0.9941441122,37.0
0.9941441122,37.0
0.9941441122,37.0
0.9941441122,37.0
0.9941441122,37.0
0.9941441122,37.0
0.9941441122,37.0
0.9941441122,37.0
0.9941441122,37.0
0.9941510904,38.0
0.9941513533,39.0
0.9941513533,39.0
0.9941513533,39.0
0.9941513533,39.0
0.9941513533,39.0
0.9941513533,39.0
0.9941513533,39.0
0.9941513533,39.0
0.9941513533,39.0
0.9941513533,39.0
0.9941513533,39.0
0.9941513533,39.0
0.9941513533,39.0
0.9941513533,39.0
0.9941513533,39.0
0.9941513533,39.0
