hypervolume,onvg
0.4714180646,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.921363056,2.0
0.921363056,2.0
0.921363056,2.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9538628952,4.0
0.9538628952,4.0
0.9538628952,4.0
0.9538628952,4.0
0.9538628952,4.0
0.9538628952,4.0
0.9538628952,4.0
0.9538628952,4.0
0.9538628952,4.0
0.9538724419,5.0
0.9538724419,5.0
0.9538724419,5.0
0.9538724419,5.0
0.9538724419,5.0
0.9538724419,5.0
0.9538724419,5.0
0.9583189388,6.0
0.9583189388,6.0
0.9583189388,6.0
0.9583189388,6.0
0.9583189388,6.0
0.9583189388,6.0
0.9583189388,6.0
0.9583189388,6.0
0.9583189388,6.0
0.9583189388,6.0
0.9583189388,6.0
0.9583189388,6.0
0.9583189388,6.0
0.9583189388,6.0
0.9583189388,6.0
0.9583189388,6.0
0.9583189388,6.0
0.9583189388,6.0
0.9583189388,6.0
0.9727876469,6.0
0.9727876469,6.0
0.9727876469,6.0
0.9727876469,6.0
0.9727876469,6.0
0.9727876469,6.0
0.9739813501,6.0
0.9739813501,6.0
0.9739813501,6.0
0.9789659916,6.0
0.9789659916,6.0
0.9789659916,6.0
0.9789659916,6.0
0.9789659916,6.0
0.9789659916,6.0
0.9789659916,6.0
0.9789659916,6.0
0.9789659916,6.0
0.9789659916,6.0
0.9801452556,4.0
0.9801452556,4.0
0.9801452556,4.0
0.9801452556,4.0
0.9801452556,4.0
0.9801452556,4.0
0.9801452556,4.0
0.9801452556,4.0
0.9801452556,4.0
0.9801452556,4.0
0.9801452556,4.0
0.9801452556,4.0
0.9803388959,5.0
0.9803388959,5.0
0.9803552011,6.0
0.9803552011,6.0
0.9803552011,6.0
0.9803552011,6.0
0.9803552011,6.0
0.9803552011,6.0
0.9803552011,6.0
0.9803552011,6.0
0.9803552011,6.0
0.9803552011,6.0
0.9803552011,6.0
0.9803556518,7.0
0.9803556518,7.0
0.9803556518,7.0
0.9803556518,7.0
0.9803556518,7.0
0.9803556518,7.0
0.9803556518,7.0
0.9803556518,7.0
0.9803556518,7.0
0.9803556518,7.0
0.9803556518,7.0
0.9803795158,8.0
0.9803795158,8.0
0.9803795158,8.0
0.9803795158,8.0
0.9803795158,8.0
0.9803795158,8.0
0.9803795158,8.0
0.9803795158,8.0
0.9803795158,8.0
0.9803795158,8.0
0.9803795158,8.0
0.9803795158,8.0
0.9803795158,8.0
0.9803795158,8.0
0.9804966492,9.0
0.9804966492,9.0
0.9804966492,9.0
0.9805005412,10.0
0.9805005412,10.0
0.9805005412,10.0
0.9805005412,10.0
0.9805005412,10.0
0.9805005412,10.0
0.9805005412,10.0
0.9805005412,10.0
0.9805005412,10.0
0.9805005412,10.0
0.9805005412,10.0
0.9805005412,10.0
0.9805005412,10.0
0.9805015176,11.0
0.9805015176,11.0
0.9805015176,11.0
0.98076889,12.0
0.98076889,12.0
0.98076889,12.0
0.98076889,12.0
0.98076889,12.0
0.98076889,12.0
0.98076889,12.0
0.98076889,12.0
0.98076889,12.0
0.98076889,12.0
0.98076889,12.0
0.98076889,12.0
0.98076889,12.0
0.9807696029,13.0
0.9807696029,13.0
0.9807696029,13.0
0.9807696029,13.0
0.9807696029,13.0
0.9807696029,13.0
0.9807696029,13.0
0.9807696029,13.0
0.9807696029,13.0
0.9807696029,13.0
0.9807696029,13.0
0.9807696029,13.0
0.9807696029,13.0
0.9807696029,13.0
0.9807696029,13.0
0.9807696029,13.0
0.9807696029,13.0
0.9807696029,13.0
0.9807696029,13.0
0.9807696029,13.0
0.9807696029,13.0
0.9807696029,13.0
0.9807696029,13.0
0.9807696029,13.0
0.9807696029,13.0
0.9807696029,13.0
0.9807804934,11.0
0.9807804934,11.0
0.9807804934,11.0
0.9807804934,11.0
0.9807804934,11.0
0.9807804934,11.0
0.9807804934,11.0
0.9807804934,11.0
0.9807804934,11.0
0.9807804934,11.0
0.9807804934,11.0
0.9807804934,11.0
0.9807804934,11.0
0.9807804934,11.0
0.9807804934,11.0
0.9807804934,11.0
0.9807804934,11.0
0.9807804934,11.0
0.9807804934,11.0
0.9807804934,11.0
0.9807804934,11.0
0.9807804934,11.0
0.9807804934,11.0
0.9807804934,11.0
0.9807804934,11.0
0.9807804934,11.0
0.9807804934,11.0
0.9807804934,11.0
0.9807804934,11.0
0.9807804934,11.0
0.9807829605,12.0
0.9807829605,12.0
0.9894703098,13.0
0.9894703098,13.0
0.9894703098,13.0
0.9894703098,13.0
0.9894703098,13.0
0.9894703098,13.0
0.9894703098,13.0
0.9894703098,13.0
0.9894703098,13.0
0.9894703098,13.0
0.9894703098,13.0
0.9894703098,13.0
0.9894703098,13.0
0.9894703098,13.0
0.9894703098,13.0
0.9894703098,13.0
0.9905761656,14.0
0.9905761656,14.0
0.9905761656,14.0
0.9905761656,14.0
0.9905761656,14.0
0.9905761656,14.0
0.9907427951,15.0
0.9907427951,15.0
0.9907427951,15.0
0.9907427951,15.0
0.9907427951,15.0
0.9907427951,15.0
0.9907465916,16.0
0.9907467745,17.0
0.9907467745,17.0
0.9907467745,17.0
0.9907467745,17.0
0.9907467745,17.0
0.9907607151,18.0
0.9907607151,18.0
0.9907607151,18.0
0.9907607151,18.0
0.9907627536,19.0
0.9907627536,19.0
0.9907627536,19.0
0.9907627536,19.0
0.9907627536,19.0
0.9907627536,19.0
0.9907627536,19.0
0.9907627536,19.0
0.9907627536,19.0
0.9907627536,19.0
0.9907627536,19.0
0.9908722785,20.0
0.9908722785,20.0
0.9908722785,20.0
0.9908722785,20.0
