hypervolume,onvg
0.4714180646,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.8984166985,1.0
0.921363056,2.0
0.921363056,2.0
0.921363056,2.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9532252015,3.0
0.9540300936,4.0
0.9540620839,5.0
0.9540620839,5.0
0.9540620839,5.0
0.9541245056,6.0
0.9541245056,6.0
0.9541245056,6.0
0.9541245056,6.0
0.9541245056,6.0
0.9541245056,6.0
0.9541245056,6.0
0.9541245056,6.0
0.9541245056,6.0
0.9542055337,7.0
0.9542055337,7.0
0.9542055337,7.0
0.9542055337,7.0
0.9542055337,7.0
0.9542055337,7.0
0.9542055337,7.0
0.9542055337,7.0
0.9542055337,7.0
0.9542055337,7.0
0.9542055337,7.0
0.9542055337,7.0
0.9542055337,7.0
0.9542055337,7.0
0.9542055337,7.0
0.9542055337,7.0
0.9542055337,7.0
0.9542055337,7.0
0.9542055337,7.0
0.9542055337,7.0
0.9542133153,8.0
0.9542133153,8.0
0.9542133153,8.0
0.9542133153,8.0
0.9542133153,8.0
0.9542133153,8.0
0.9542133153,8.0
0.9542133153,8.0
0.9542133153,8.0
0.9542133153,8.0
0.9542133153,8.0
0.9542133153,8.0
0.9542133153,8.0
0.9542133153,8.0
0.9542133153,8.0
0.9542133153,8.0
0.9542133153,8.0
0.9559629903,4.0
0.9559629903,4.0
0.9566163135,4.0
0.9566163135,4.0
0.9566163135,4.0
0.9566163135,4.0
0.9566163135,4.0
0.9566163135,4.0
0.9566163135,4.0
0.9566163135,4.0
0.9566163135,4.0
0.9566163135,4.0
0.9566163135,4.0
0.9566163135,4.0
0.9566163135,4.0
0.9566163135,4.0
0.9569543244,4.0
0.9569543244,4.0
0.9569543244,4.0
0.9569543244,4.0
0.9569543244,4.0
0.9569543244,4.0
0.9666517603,5.0
0.9666517603,5.0
0.9666517603,5.0
0.9666517603,5.0
0.9667957057,5.0
0.9667957057,5.0
0.9667957057,5.0
0.9667957057,5.0
0.9667957057,5.0
0.9667957057,5.0
0.9759800852,5.0
0.9759800852,5.0
0.9759800852,5.0
0.9759800852,5.0
0.9759800852,5.0
0.9766710365,6.0
0.9766710365,6.0
0.9766710365,6.0
0.9766710365,6.0
0.9766710365,6.0
0.9766710365,6.0
0.9766710365,6.0
0.9766710365,6.0
0.9769029636,6.0
0.9769029636,6.0
0.9769029636,6.0
0.9769029636,6.0
0.9769029636,6.0
0.9769029636,6.0
0.9769029636,6.0
0.9769029636,6.0
0.9769029636,6.0
0.9769029636,6.0
0.9769029636,6.0
0.9769029636,6.0
0.9769029636,6.0
0.9769029636,6.0
0.9769029636,6.0
0.9769029636,6.0
0.9769029636,6.0
0.9769029636,6.0
0.9769029636,6.0
0.9769029636,6.0
0.9769029636,6.0
0.9769029636,6.0
0.9769029636,6.0
0.9769029636,6.0
0.9769029636,6.0
0.976916948,7.0
0.976916948,7.0
0.976916948,7.0
0.976916948,7.0
0.9769185566,8.0
0.9769185566,8.0
0.9769185566,8.0
0.9769185566,8.0
0.9769185566,8.0
0.9844621838,7.0
0.9844621838,7.0
0.9844621838,7.0
0.9844621838,7.0
0.9844621838,7.0
0.984466883,8.0
0.984466883,8.0
0.984466883,8.0
0.984466883,8.0
0.984466883,8.0
0.984466883,8.0
0.984466883,8.0
0.984466883,8.0
0.984466883,8.0
0.9845336789,8.0
0.9845336789,8.0
0.9845336789,8.0
0.9845336789,8.0
0.9845336789,8.0
0.9845336789,8.0
0.9845336789,8.0
0.9845336789,8.0
0.9845336789,8.0
0.9845336789,8.0
0.9845336789,8.0
0.984537194,9.0
0.984537194,9.0
0.984537194,9.0
0.984537194,9.0
0.9852399689,8.0
0.9852399689,8.0
0.9852399689,8.0
0.9852399689,8.0
0.9852399689,8.0
0.9852399689,8.0
0.9852399689,8.0
0.9852399689,8.0
0.9852399689,8.0
0.9852399689,8.0
0.9852399689,8.0
0.9852399689,8.0
0.9852399689,8.0
0.9852399689,8.0
0.9852686142,9.0
0.9852686142,9.0
0.9852686142,9.0
0.9852686142,9.0
0.9852686142,9.0
0.9852686142,9.0
0.9852686142,9.0
0.9853462228,10.0
0.9853462228,10.0
0.9854337467,11.0
0.9854337467,11.0
0.9854337467,11.0
0.9854337467,11.0
0.9854337467,11.0
0.9854337467,11.0
0.9854337467,11.0
0.9855701342,11.0
0.9855701342,11.0
0.9855701342,11.0
0.9855701342,11.0
0.9855701342,11.0
0.9855701342,11.0
0.9855701342,11.0
0.9855701342,11.0
0.9855722837,12.0
0.9855722837,12.0
0.9855722837,12.0
0.9855722837,12.0
0.9855722837,12.0
0.9855722837,12.0
0.9855722837,12.0
0.9856902508,11.0
0.9856902508,11.0
0.9856902508,11.0
0.9856902508,11.0
0.9856902508,11.0
0.9856902508,11.0
0.9856902508,11.0
0.9856902508,11.0
0.9856902508,11.0
0.9856902508,11.0
0.9856902508,11.0
0.9857304355,11.0
0.9857304355,11.0
0.9857304355,11.0
0.9857304355,11.0
